şarkı sözü;;şarkı adı
"Yüksek Sadakat - Belki Üstümüzden Bir Kuş Geçer

Gül renginde gün doğarken
Boğazdan gemiler usulca geçerken
Gel çıkalım bu şehirden
Ağaçlar gökyüzü ve toprak uyurken
Dolaşalım kumsallarda
Çılgın kalabalık artık uzaklarda
Yorulursan yaslan bana
Sarılıp uyuyalım gün batımında
Belki üstümüzden bir kuş geçer
Kanadından bir tüy düşer
İner döne döne gökyüzünden
Hiç bir yüz güzel değil senin yüzünden
Haydi kalk gidelim bu şehirden
Gün doğarken ya da güneş batarken
Belki kuşlar geçer üstümüzden
Kanatlanır senin ellerinden
Ellerinden
Gül renginde gün doğarken
Boğazdan gemiler usulca geçerken
Gel çıkalım bu şehirden
Ağaçlar gökyüzü ve toprak uyurken
Dolaşalım kumsallarda
Çılgın kalabalık artık uzaklarda
Yorulursan yaslan bana
Sarılıp uyuyalım gün batımında
Belki üstümüzden bir kuş geçer
Kanadından bir tüy düşer
İner döne döne gökyüzünden
Hiç bir yüz güzel değil senin yüzünden
Haydi kalk gidelim bu şehirden
Gün doğarken ya da güneş batarken
Belki kuşlar geçer üstümüzden
Kanatlanır senin ellerinden
Haydi kalk gidelim bu şehirden
Gün doğarken ya da güneş batarken
Belki kuşlar geçer üstümüzden
Kanatlanır senin ellerinden
Ellerinden";;Yüksek Sadakat - Belki Üstümüzden Bir Kuş Geçer
"Teoman - İki Yabancı

yazdan kalma bir günden
ya da “çölde çay” filminden
bir sahne var aklımda
oyuncular sanki biziz
mutsuzuz ikimiziz

kimi aşklar hiç bitmezmiş
bizimkisi bitenlerden
sevmeye yeteneksiziz

iki yabancı
birlikte ama yalnız
iki yabancıyız

hani o güneşin batışı
bizi tanrıya inandırışı
şu an o akşam aklımda
ama çok zaman önceydi
yaralarımız ağır değildi

yine de bağışladım ben hepsini
hem seni hem de kendimi
o kadar yoktun ki

yazdan kalma bir günden
ya da “çölde çay” filminden
benim de sahneler aklımda
seninkilerden farklı ama
artık kendini kandırma
yoktur üstüne senin
güzeli çirkin yapmakta
suçuysa dünyaya atmakta

neyin bildin ki değerini
benimkini bileceksin
bunu da tabii mahvedeceksin

iki yabancı
birlikte ama yalnız
iki yabancıyız";;Teoman - İki Yabancı
"Sertab Erener - Olsun

Artık ne masumuz ne yalandan yoksun
Bırak, olsun
Resimleri sen al, mevsimler zaten benim
Hadi, olsun
Bölüşülsün şiirler, arkadaşlar, şehirler
Olan olsun
Artık ne özgürüz ne de özgür ömrümüz
Hadi, olsun
Ben giderim, İstanbul senin olsun
Ben giderim, İstanbul senin olsun
Alırım başımı, başım bir deli nehir
Silerim yaşımı, siler ismimi şehir
Kestirir saçımı, kendimi avuturum
Bi' gülü kurutur, kurursa unuturum
Bi' mektup yazarım yokluğundan da ağır
Bi' kedi alırım, sen de anneni çağır
Ellerin aklımda, sevdan kalbimde kalır
Hep hüsran, hep kahır, söyle artık, olsun
Artık ne masumuz ne yalandan yoksun
Bırak, olsun
Resimleri sen al, mevsimler zaten benim
Hadi, olsun
Ben giderim, İstanbul senin olsun
Ben giderim, İstanbul senin olsun
Alırım başımı, başım bir deli nehir
Silerim yaşımı, siler ismimi şehir
Kestirir saçımı, kendimi avuturum
Bi' gülü kurutur, kurursa unuturum
Bi' mektup yazarım yokluğundan da ağır
Bi' kedi alırım, sen de anneni çağır
Ellerin aklımda, sevdan kalbimde kalır
Hep hüsran, hep kahır, söyle artık, olsun
Alırım başımı, başım bir deli nehir
Silerim yaşımı, siler ismimi şehir
Kestirir saçımı, kendimi avuturum
Bi' gülü kurutur, kurursa unuturum
Bi' mektup yazarım yokluğundan da ağır
Bi' kedi alırım, sen de anneni çağır
Ellerin aklımda, sevdan kalbimde kalır
Hep hüsran, hep kahır, söyle artık, olsun";;Sertab Erener - Olsun
"Demet Akalın - Olacak Olacak

Sindiremiyorum bu ihaneti, içimde bi nefret
Beklemiyordum bu felaketi, yüreğim sabret
Hazmedemiyorum yok oluşları, kaçıyor korkak
Yok sayamıyorum bu cehaleti, yok öyle susmak
Çok vurdumduymaz
Bu kadar olmaz
Kendi düşen ağlamaz
Unutup acımı, alıcam öcümü
Asıl o zaman görecek gücümü
Onun da yerini biri dolduracak
Kadere inanırım, olacak olacak
Unutup acımı alıcam öcümü
Asıl o zaman görecek gücümü
Onun da yerini biri dolduracak
Kadere inanırım, olacak olacak
Sindiremiyorum bu ihaneti, içimde bi nefret
Beklemiyordum bu felaketi, yüreğim sabret
Hazmedemiyorum yok oluşları, kaçıyor korkak
Yok sayamıyorum bu cehaleti, yok öyle susmak
Çok vurdumduymaz
Bu kadar olmaz
Kendi düşen ağlamaz
Unutup acımı, alıcam öcümü
Asıl o zaman görecek gücümü
Onun da yerini biri dolduracak
Kadere inanırım, olacak olacak
Unutup acımı, alıcam öcümü
Asıl o zaman görecek gücümü
Onun da yerini biri dolduracak
Kadere inanırım, olacak olacak
Unutup acımı, alıcam öcümü
Asıl o zaman görecek gücümü
Onun da yerini biri dolduracak
Kadere inanırım, olacak olacak
Unutup acımı, alıcam öcümü
Asıl o zaman görecek gücümü
Onun da yerini biri dolduracak
Kadere inanırım, olacak olacak
Unutup acımı, alıcam öcümü
Asıl o zaman görecek gücümü
Onun da yerini biri dolduracak
Kadere inanırım, olacak olacak";;Demet Akalın - Olacak Olacak
"Model - Sen Ona Aşıksın

Demek bugün yeni bir hikâyeye başlıyorsun
Dilerim bunun sonu bizimkinden mutlu olsun
Çok şey unutturması gerekiyor şimdi sana
İşi de biraz zor benden sonra aslında
Şarkınız falan olacak, yeni bir diziye başlanacak
Tatiller planlanacak, fotoğraflar konulacak
Neyse, seni çok seviyormuş, ne tatlı
Ona da ""Her şeyim"" demişsin, bana ne kaldı?
Sen ona âşıksın, sen ona âşıksın
Sen ona âşıksın, tek bir söz söyleme, boş ver
Sen ona âşıksın, sen ona âşıksın
Sen ona âşıksın, öyle güzel gülme, yeter
Sen ona âşıksın, sen ona âşıksın
Sen ona âşıksın, böyle bitecekmiş meğer
Çok şey var öğreneceği senin hakkında
Kahveyi şekersiz, sütlü seversin mesela
Saçınla oynayınca hemen uyursun
Sebze yemezsin, içince çok konuşursun
Umarım onu annene sevdirmeyi becerirsin
Çünkü kendisi benden haz etmezdi bilirsin
Neyse, biz de taktık o yüzükleri
Ona da verme tutamayacağın sözleri
Sen ona âşıksın, sen ona âşıksın
Sen ona âşıksın, tek bir söz söyleme, boş ver
Sen ona âşıksın, sen ona âşıksın
Sen ona âşıksın, öyle güzel gülme, yeter
Sen ona âşıksın, sen ona âşıksın
Sen ona âşıksın, böyle bitecekmiş meğer
Ne pişman ne düşman
Ne de kahraman olmaya değer
Savaşmam, yarışmam
Kalbim onla çarpıyorsa eğer
Sen ona âşıksın, sen ona âşıksın
Sen ona âşıksın, tek bir söz söyleme, boş ver
Sen ona âşıksın, sen ona âşıksın
Sen ona âşıksın, öyle güzel gülme, yeter
Sen ona âşıksın, sen ona âşıksın
Sen ona âşıksın, böyle bitecekmiş meğer";;Model - Sen Ona Aşıksın
"Emre Aydın - Soğuk Odalar

Durdu zamanım, bir şey diyemedim
Gitmek istedin, ve gittin
Aynı gökyüzünde, ayrıydı güneşin
Söyle bari, iyi misin?
Burası soğuk, soğuk odalar
Yoksun neye yarar
Örtünsem kat kat yorganlar aman
Soğuk, soğuk olanlar
Vurdum dibe kadar
Halimden yalnız uyuyanlar anlar
Soğuk, soğuk odalar (odalar)
Yoksun neye yarar
Örtünsem kat kat yorganlar aman
Soğuk, soğuk olanlar
Vurdum dibe kadar
Halimden yalnız uyuyanlar anlar
Durdu zamanım, bir şey diyemedim
Gitmek istedin, ve gittin
Aynı gökyüzünde, ayrıydı güneşin
Söyle bari, iyi misin? (iyi misin?)
Burası soğuk, soğuk odalar
Yoksun neye yarar
Örtünsem kat kat yorganlar aman
Soğuk, soğuk olanlar
Vurdum dibe kadar
Halimden yalnız uyuyanlar anlar
Soğuk, soğuk odalar (odalar)
Yoksun neye yarar
Örtünsem kat kat yorganlar aman
Soğuk, soğuk olanlar
Vurdum dibe kadar
Halimden yalnız uyuyanlar anlar
Ah, soğuk, soğuk odalar (odalar)
Yoksun neye yarar
Örtünsem kat kat yorganlar aman
Soğuk, soğuk olanlar (soğuk olanlar)
Vurdum dibe kadar
Halimden yalnız uyuyanlar anlar";;Emre Aydın - Soğuk Odalar
"Yalın - Su Gibi

Bu da geçer mi, sevgilim?
Yokluğundan mı sebep?
Sustuğundan mı sebep?
Buz gibi gecelerim
Battaniyem, sıcağımdın sen benim
Bu da geçer mi, sevgilim?
Yatağı dert soğutur
Kalbim elinde durur
İyi ki var şiirlerim
Battaniyem, sıcağımdın sen benim
Bi' sonraki bayram
Bi' hüzünlü yağmur
Belki yine şansımız olur
O zaman
Bırak bütün şarkıları o söylesin
Bıraktığın yaraları temizlesin
Aramıza koyduğun o tatlı gönlün
Hat'rı çok olsun
Bırak bütün şarkıları o söylesin
Bıraktığın yaraları temizlesin
Aramıza koyduğun o tatlı gönlün
Canı sağ olsun
Bu da geçer mi, sevgilim?
Yokluğundan mı sebep?
Sustuğundan mı sebep?
Buz gibi gecelerim
Battaniyem, sıcağımdın sen benim
Bi' sonraki bayram
Bi' hüzünlü yağmur
Belki yine şansımız olur
O zaman
Bırak bütün şarkıları o söylesin
Bıraktığın yaraları temizlesin
Aramıza koyduğun o tatlı gönlün
Hat'rı çok olsun
Bırak bütün şarkıları o söylesin
Bıraktığın yaraları temizlesin
Aramıza koyduğun o tatlı gönlün
Canı sağ olsun
Bu da geçer mi, sevgilim?";;Yalın - Su Gibi
"Erkin Koray - Deli Kadın

Deli kadın hiç sen beni anlamadın (anlamadın)
Sopa mopa kar etmiyor taş kafana (taş kafana)
Öldüm desen (yalan) kaldım desen (yalan) hepsi yalan (hepsi yalan)
(Deli kadın hiç sen beni anlamadın, anlamadın)
(Sopa mopa kar etmiyor taş kafana, taş kafana)
Öldüm desen (yalan) kaldım desen (yalan) hepsi yalan (hepsi yalan)
Bir gün aman diyeceksin, sen o zaman bileceksin
Aptal gibi, şapşal gibi sevdim sandım (sevdim sandım)
Artık bıktım dertlerinden çok usandım (çok usandım)
Öldüm desen (yalan) kaldım desen (yalan) hepsi yalan (hepsi yalan)
Deli kadın hiç sen beni anlamadın (anlamadın)
Sopa mopa kar etmiyor taş kafana (taş kafana)
Öldüm desen (yalan) kaldım desen (yalan) hepsi yalan (hepsi yalan)
Bir gün aman diyeceksin, sen o zaman bileceksin
(Aptal gibi, şapşal gibi sevdim sandım, sevdim sandım)
(Artık bıktım dertlerinden çok usandım, çok usandım)
Öldüm desen (yalan) kaldım desen (yalan) hepsi yalan (hepsi yalan)
(Hepsi yalan, hepsi yalan)";;Erkin Koray - Deli Kadın
"Şebnem Ferah - Od

Hangi gündeyiz hangi yılda
Hangi evdeyim hangi oda
Zamanın dışına düştüm dünyanın peşine
Hangi gündeyiz hangi yılda
Saat kaç oldu sabah mı
Aydınlık mıdır karanlık mı
Sönmeyen bir oda düştüm
Denizler dökseler
Hissetmez oldum
Yandım mı
Taş üstünde taş yok küller külleri
Omzumda baş yok kafa tuttum mahşere
Taş üstünde taş yok küller külleri
Omzumda baş yok kafa tuttum mahşere
Hangi gündeyiz hangi yılda
Hangi şehirde hangi yolda
Zamanın dışına düştüm her yerim yara bere
Hangi gündeyiz hangi yılda
Üstümde toprak altımda gök
Avucumda tırnak ruhumda kök
Hayattan bir yere düştüm
Her taraf kan revan
Önce kalp durdu
Sonra zaman
Taş üstünde taş yok küller külleri
Omzumda baş yok kafa tuttum mahşere
Taş üstünde taş yok küller külleri
Omzumda baş yok kafa tuttum mahşere
Taş üstünde taş yok küller külleri
Omzumda baş yok kafa tuttum mahşere
Taş üstünde taş yok küller külleri
Omzumda baş yok kafa tuttum mahşere";;Şebnem Ferah - Od
"Duman - İstanbul

Bu şehir rakıyla yaşar
Bu şehir cigarayı çeker
Bu şehir gündüzü yaşar
Bu şeyler geceyi sever
Bu şehirin adamı söver
Bu şehir kadının döver
Bu şehir kanımızı emer
Bu şehir için ölmeye değer
Istanbul elinden öper
Bu şehir rakıyla yaşar
Bu şehir cigarayı çeker
Bu şehir gündüzü yaşar
Bu şeyler geceyi sever
Bu şehirin adamı söver
Bu şehir kadının döver
Bu şehir kanımızı emer
Bu şehir için ölmeye değer
Istanbul elinden öper";;Duman - İstanbul
"Athena - Köpek 

Bana ne, bana ne, bana ne, bana ne bugün kendimden
Tutamam, tutamam, tutamam kimseye sözüm yok
Sana ne, sana ne, sana ne, sana ne benim halimden
Gidemem, gidemem, gidemem cesaretim yok
Yüzüme bi' bak o bana yeter
Yalan söyle ne farkeder
Önüne yem at biraz bekle
Aç bi' köpek kadar değerim yok yine
Yine, yine, yine, yine, yine, yine, yine
Bana ne, bana ne, bana ne, bana ne bugün kendimden
Tutamam, tutamam, tutamam kimseye sözüm yok
Sana ne, sana ne, sana ne, sana ne benim halimden
Gidemem, gidemem, gidemem cesaretim yok
Yüzüme bi' bak o bana yeter
Yalan söyle ne farkeder
Önüne yem at biraz bekle
Aç bi' köpek kadar değerim yok yine
Yine, yine, yine, yine, yine, yine, yine
Bana ne, bana ne, bana ne, bana ne bugün kendimden
Tutamam, tutamam, tutamam kimseye sözüm yok
Sana ne, sana ne, sana ne, sana ne benim halimden
Gidemem, gidemem, gidemem cesaretim yok
Yüzüme bi' bak o bana yeter
Yalan söyle ne farkeder
Önüne yem at biraz bekle
Aç bi' köpek kadar değerim yok yine
Yine, yine, yine, yine, yine, yine, yine";;Athena - Köpek 
