şarkı sözleri;;"﻿şarkı sözleri;;şarkı ad"
"Ayda – Alla Beni Pulla Beni Şarkı Sözü





Alla beni pulla beni al koynuna yar
Gözüm senden başkasını görmez oldu yar
Gönlüm senden bir şey ister nasıl desem yar
Alla beni pulla beni al koynuna yar
Senin için dağları deler yol açarım yar (yar)
Senin için denizleri kuruturum yar
Senin için gök kubbeyi yerlere çalarım yar
Canım iste canım bile sana kurban yar (yar)
Dağlar taşlar uçan kuşlar senin olsun yar
Deniz derya gökler hep yerinde dursun yar
Gönlüm senden bir şey ister nasıl desem yar
Alla beni pulla beni al koynuna yar
Alla beni pulla beni al koynuna yar
Gözüm senden başkasını görmez oldu yar
Gönlüm senden bir şey ister nasıl desem yar
Alla beni pulla beni al koynuna yar
Saçlarına yıldızlardan taç yapayım yar (yar)
Bir nefeste güneşleri söndüreyim yar
Çıra gibi uğrunda ben yanayım yar
Canım iste canım bile sana kurban yar 
Yıldızlar yerinde güzel bırak dursun yar
Saçlarımı ellerinle okşa yeter yar (yar)
Gönlüm senden bir şey ister nasıl desem yar
Alla beni pulla beni al koynuna yar
Alla beni pulla beni al koynuna yar
Gözüm senden başkasını görmez oldu yar
Gönlüm senden bir şey ister nasıl desem yar
Alla beni pulla beni al koynuna yar";;Ayda – Alla Beni Pulla Beni 
"Cem Yenel – Çok Aşığım Şarkı Sözü





Yürüyorum aynı yolda
Zırhım yok tek tabanca
Kokun sinmiş üstüme başıma
Bırakmıyor okuyor canıma
Gelsem yine dünyaya
Silsem yazsam yine
Söylerdim bu kez
Yanacağım bile bile
Sana
Çok aşığım çok aşığım
Çok aşığım çok aşığım
Sana";;Cem Yenel – Çok Aşığım 
"Serdar Ortaç – Ok Çıkmış Yaydan Şarkı Sözü





Belki bu son görüşüm resmini, son gidişim yüreğinden.
Perişan olacağımızı gördüm, aklım karışık.
Belki ödeyemem bir vefa gibi
Elbet bilirim emeğin çok
Yandım sönemem, külü dağ gibi
Silsem yapışık.
Yalan, iftira mı bu zaman
Çözsün her şeyi bu beden
Aynı dağ gibi yıksan alışık
Sorsan bu defa halimi, perişan apaçık 
Ok çıkmış bir kere yaydan
Kalp yorgun fırtına kardan
Bana şöyle gözün gibi davran
Kalbinden vururum. 
Ok çıkmış bir kere yaydan
Kalp yorgun fırtına kardan
Neme lazım aşk vurmazsa,
Sırtından vururum.";;Serdar Ortaç – Ok Çıkmış Yaydan 
"Halit Bilgiç – Yine Gel Şarkı Sözü





Gözlerin zehri şarap eder mi?
Alıp içsem beni sarhoş eder mi?
Bir hayale daldım uyan derler mi?
Beni böyle koyup gitme olur mu. 
Yine gel akşam üstü
Gece sabaha varmadan
İzin olsun üzerimde olur mu? 
Ellerin kışı bahar eder mi?
Tutuşunca yüreğimi örter mi?
Ey ruhuma kır alem-i papatya
Beni böyle koyup gitme olur mu? 
Yine gel akşam üstü
Gece sabaha varmadan
İzin olsun üzerimde olur mu? ";;Halit Bilgiç – Yine Gel 
"Mustafa Ceceli – Saçma Sapan Şarkı Sözü





Saçma sapan cümlelerden
Hayatımı mahveden gülmelerden
İnandığım bu onca yeminlerden
Elimden kayıp gidenlerden
Ömrümden, aldın beni benden
Şimdi haber yok o gemilerden
Gönüldedir gözümde silinenler
Saçma sapan cümlelerden
Hayatımı mahveden gülmelerden
İnandığım bu onca yeminlerden
Elimden kayıp gidenlerden
Ömrümden aldın beni benden
Şimdi haber yok o gemilerden
Gönüldedir gözümde silinenler
Unutuldu tüm bilinenler (oooff yeniden gel)
Gel parçalansın bütün doğrularım
Ben hayalimde sadece seni kurgularım
Harap oldu duygularım ve kaçtı uykularım
Benim kaygılarım var
Acılarım (oooff)
Tükenmeyen ayrılık sancıları
Zamanla demir aldı gönlümün yolcuları (oooff)
Saçma sapan cümlelerden
Hayatımı mahveden gülmelerden
İnandığım bu onca yeminlerden
Elimden kayıp gidenlerden
Ömrümden aldın beni benden
Şimdi haber yok o gemilerden
Gönüldedir gözümde silinenler
Saçma sapan cümlelerden
Hayatımı mahveden gülmelerden
İnandığım bu onca yeminlerden
Elimden kayıp gidenlerden
Ömrümden aldın beni benden
Şimdi haber yok o gemilerden
Gönüldedir gözümde silinenler
Unutuldu tüm bilinenler (oooff yeniden gel)
Gel parçalansın bütün doğrularım
Ben hayalimde sadece seni kurgularım
Harap oldu duygularım ve kaçtı uykularım
Benim kaygılarım var
Acılarım (oooff)
Tükenmeyen ayrılık sancıları
Zamanla demir aldı gönlümün yolcuları (oooff)
Saçma sapan cümlelerden
Hayatımı mahveden gülmelerden
İnandığım bu onca yeminlerden
Elimden kayıp gidenlerden
Ömrümden aldın beni benden
Şimdi haber yok o gemilerden
Gönüldedir gözümde silinenler
Saçma sapan cümlelerden
Hayatımı mahveden gülmelerden
İnandığım bu onca yeminlerden
Elimden kayıp gidenlerden
Ömrümden aldın beni benden
Şimdi haber yok o gemilerden
Gönüldedir gözümde silinenler
Saçma sapan (saçma sapan)";;Mustafa Ceceli – Saçma Sapan 
"Bilal Sonses & Derya Bedavacı – Sende Kaldı Yüreğim Şarkı Sözü





Sesin gelmez, haber gönder, nerdesin?
Dönemedin ulaşılmaz yerdesin
Ben aklımı sende bozdum sevgilim
Sende kaldı yüreğim, sende soldu yüreğim
Bilmem kime bakar gözlerin?
Bilmem kimi sarar ellerin?
Bilmem kimi söyler dillerin?
Sende kaldı yüreğim
Sende soldu yüreğim
Ayağına serdim yar umutları
Yaşanmadan tükettin yarınları
Çek silahı, vur bitir acıları
Sende kaldı yüreğim
Sende soldu yüreğim";;Bilal Sonses & Derya Bedavacı – Sende Kaldı Yüreğim 
"Reynmen – Hevesim Yok Şarkı Sözü





Yürürüm yolları hevesim yok,
Kursağımda hala
Bugünüm zorladı sevesim yok,
Tam solumda yara
Ben yeniden sevebilirim
Belki ama güvenemem
Geri gel beni ver
Yeniden sana direnemem
Bomboş bir sayfa açtım ama
Geçmedi bak onca yara
Sırtımda bir ton yük
Kurtulsam biri alsa getirse seni bana
Yürürüm yolları hevesim yok,
Kursağımda hala
Bugünüm zorladı sevesim yok,
Tam solumda yara
Yürürüm yolları hevesim yok,
Kursağımda hala
Bugünüm zorladı sevesim yok,
Tam solumda yara
Ben yeniden sevebilirim
Belki ama güvenemem
Geri gel beni ver
Yeniden sana direnemem
Ben yeniden sevebilirim
Belki ama güvenemem
Geri gel beni ver
Yeniden sana direnemem
Yürürüm yolları hevesim yok,
Kursağımda hala
Bugünüm zorladı sevesim yok,
Tam solumda yara
Yürürüm yolları hevesim yok,
Kursağımda hala
Bugünüm zorladı sevesim yok,
Tam solumda yara
Yürürüm yolları hevesim yok,
Kursağımda hala
Bugünüm zorladı sevesim yok,
Tam solumda yara
Yürürüm yolları hevesim yok";;Reynmen – Hevesim Yok 
"Nesrin Cavadzade & Elif Doğan – Bir Rüya Gördüm Şarkı Sözü





Nesrin Cavadzade & Elif Doğan – Bir Rüya Gördüm sözleri:
Bir rüya gördüm dün gece
Sürseydi keşke ömrümce
Öyle güzeldi ki her şey, her yer 
Yıldızlarla dolu bir yolda
Yürüyorduk seninle el ele
Bulutların üstünde bir yerde
Gözlerindeki ışığı görmemiştim hiç böylesine
Güneşten bile parlaktı inan
Bir rüya gördüm dün gece 
Bir rüya gördüm dün gece
Çiçeklerle dolu her köşe
Bir başka dünyadaydık biz seninle 
Yıldızlarla dolu bir yolda
Yürüyorduk seninle el ele
Bulutların üstünde bir yerde";;Nesrin Cavadzade & Elif Doğan – Bir Rüya Gördüm 
"

Bilal SONSES – Ziyanı Yok Şarkı Sözü





Çok kızgınım kendime bu ara
Nasıl inandım, güvendim
Çok bıkkınım katmışım tozu dumana
İçim kan ağlardı,ben gülerdim
Üzmedim bir gün,kızmadım
Nedensiz gittin yılmadım
Küsmedim bir gün, darılmadım
Boşa harcadım o yılları
Şimdi korkudan uyanıp uykudan içime attım sayende
Oldu korkulan yarına çok mu var git görünme bir daha gelme
Yordu bak bu aşk alırım kuytudan bir gülüşün devaydı derde
Düştüm yoktular sözde dosttular ziyanı yok olma sende
Şimdi korkudan uyanıp uykudan içime attım sayende
Oldu korkulan yarına çok mu var git görünme bir daha gelme
Yordu bak bu aşk alırım kuytudan bir gülüşün devaydı derde
Düştüm yoktular sözde dosttular ziyanı yok olma sende";;Bilal SONSES – Ziyanı Yok 
"Nükhet Duru & Sıla – Yaralım Şarkı Sözü





Bir oyunla başladı bütün hikayem.
Ne başı, ne de sonu belli değil.
Yaşamadığım çocuksu günlerin hesabını
Kime soracağım bugün?
Kime belli değil…
Yaralım, sevgilim, özlemin başucumda…
Ah yaralım, kara bahtım!
Ayrı düştük, dayanalım.
Ah yaralım, kara gözlüm!
Biz bu hale gel dayanalım.
Her gece düşümde seni aradım.
Ellerini öptüm, doyamadım.
Yaşamadığım çocuksu günlerin hesabını
Kime soracağım bugün?
Kime belli değil…
Yaralım, sevdiğim, özlemin başucumda…
Ah yaralım, kara bahtım!
Ayrı düştük, dayanalım.
Ah yaralım, kara gözlüm!
Biz bu hale gel dayanalım.
Ah yaralım, kara bahtım!
Ayrı düştük gel dayanalım.
Ah yaralım, kara gözlüm!
Biz bu hale gel dayanalım.";;Nükhet Duru & Sıla – Yaralım 
"Özgün – Mahzen Şarkı Sözü





Bilsen neleri affettim
Neler feda ettim
Zaman zor geçti ama geçti
Her şey birden bire nasıl değişti
Ama ben sana veda ettim
Kalem kağıt ağlarken
Kalanını feda ettim
Bir ihtimal bağlarken
Ben bilirim bunu zaten
İki göz gibi bazen
Birbirini görmezken
Ayni yerde birleşen
Sen, ben gibi kalpten seven
Anlaşır madem
Beni boğdu bu mahzen
Elini tutup çıkıp gitsem
Bilsen neleri affettim
Neler feda ettim
Zaman zor geçti ama geçti
Her şey birden bire nasıl değişti
Ama ben sana veda ettim
Kalem kağıt ağlarken
Kalanını feda ettim
Bir ihtimal bağlarken
Kalana tutunduğumda
Hatırana saygımla
O’na sığınıp dua ettim
Yarınları beklerken
Ben bilirim bunu zaten
İki göz gibi bazen
Birbirini görmezken
Aynı yerde birleşen
Sen, ben gibi kalpten seven
Anlaşır madem
Beni boğdu bu mahzen
Elini tutup çıkıp gitsem";;Özgün – Mahzen 
"Gökhan Türkmen – Kalbim Şarkı Sözü





Ayaklarımın sesini duyuyor musun?
Sana gelen bir çift tak sesiyle serinlerinde sabahlıyorum
Dönüştüğüm her yer iyi yanın
Kalabalığının görüntüsüyle yalnızlığımdan utanıyorum 
Yeni bağırışlarımla sesine özeniyorum
Durduğum her yer sana gidiyor
Solumda kalbim, sağımda senin kalbin
Baktığım her yer sana yansıyor 
Şimdi yalnızlıktan sonra kaybolanları hatırla
Kimdi aldatan hayallerinin tam yanında
Şimdi hissettiğin yer derinlerde bir yerde
Ben artık yanı başında rüyalarının tam ortasında";;Gökhan Türkmen – Kalbim 
"ğuzhan Koç – Yok Sanayım Şarkı Sözü





Gün biter,çilem dolar
Yaram bağlar kabuk
Gül solar,bülbül susar
Odam kuru soğuk
Yetmedi ne aldığım,
Ne verdiğim sana.
Bitmedi bu aşk,
Bence yazık olur bana
Beni artık yorma kurbanın olayım
Hamdım düştüm dalımdan
Sorma!
Nefes alamıyorum aşkımdan.
Vurma! Kurbanın olayım.
Düştüm kalkmam sonunda
Sorma!
Nefes alamıyorum aşkımdan.
Kimi sevdi ki kalbin başka
Cesaret edip de nasıl sana sorayım?
Biri varsa bile sen söyleme
Ben yine yok sanayım
Kimi öptü dudakların?
Ne olur bir tek ben olayım.
Biri varsa bile sen söyleme
Ben yine yok sanayım.";;ğuzhan Koç – Yok Sanayım 
"Oğuzhan Koç – Aşk Dediğin Şarkı Sözü





Dur sakın bana bakma öyle
Gücüm yetmez gözlerine
Gördüğün rüya olmaya razıyım
Çok yakın ama sen de söyle
Güzel şeyler söyle diye
Ben kötü adam olmaya razıyım
İçimde bir ateş ki
Getiremem ben yola
El açtım diz çöktüm boyun eğdim
Yağmura…
Yanar yanar söner ya
Kanar kanar durur ya
Hep sonradan vurur ya aşk dediğin
Uzakları aşar ya
Tuzaklara düşer ya
Yasaklara direnmek istediğim
Ben senin yanındayken mutluyum
Ben sen yanımdayken…";;Oğuzhan Koç – Aşk Dediğin 
"Oğuzhan Koç – Yüzüm Yok Şarkı Sözü





Bu hayatı saymam ki ben
Bir tarafı elle tutulmuyor
Beni bir şey sandın mı sen
Sen yokken yanıma yanaşılmıyor 
Yalnızım gölgem bile bırakıp gitsin
Hiç koymuyor, dokunmuyor kanıma
Yerine bir sen biraz sen olsan
Ama olmuyor, olmuyor 
Yüzüm kalmadı yüzüne bakmaya
Geri dön diye diz çöküp yalvarmaya
Hiç mi koymadı bana sormamak
Hangimiz diye aşkta en çok harcanan
Birisi gider diğeri kalır
Bu mudur kader bir taraf hep gamlanır
Seven hep çeker derdi saklayıp
Gülen var mıdır ben gibi hep ağlayıp?";;Oğuzhan Koç – Yüzüm Yok 
"Orhan Ölmez – Muteber Şarkı Sözü





Görüyor musun nasıl geçiyor zaman
Daha dün yanyanaydık unutamam
Her şeyi detaylıca anlatamam ama
Kimler geldi geçti hayatımdan
Biraz tebessüm biraz keder
Kaldı geçmişten geriye muteber
Üzüldüm acılandım ne diyelim kader
Kayboldu eski dostlar birer birer
Acıyor canım
Sızlıyor sol yanım
Bir yanım şükreder
Bir yanım ağlamak ister
Acıyor canım
Özlüyor bir yanım
Bir yanım şükreder
Bir yanım ağlamak ister";;Orhan Ölmez – Muteber 
"Bilal SONSES – Yanarım Şarkı Sözü





Göğsümde uyumadın hiç
Çok istedim ama çok gördün
Kalbimde durmadın hiç
Hep izledim ama çok kördüm
Nankördün aldın vebalimi
Yaşattın acının her halini
Çok gömdün seni seven şu kalbimi
Artık görmüyorum hayalini
Yanarım, kor ateşler üstüme gelir ama
Kanarım, sen söyle bir yalan daha bana
Anarım, adını her özlediğimde ama
Bittiyse zorlamam
Nankördün aldın vebalimi
Yaşattın acının her halini
Çok gömdün seni seven şu kalbimi
Artık görmüyorum hayalini
Yanarım, kor ateşler üstüme gelir ama
Kanarım, sen söyle bir yalan daha bana
Anarım, adını her özlediğimde ama
Bittiyse zorlamam";;Bilal SONSES – Yanarım 
"Vedat Tozyılmaz – Sevgi Lazım Şarkı Sözü





Bastığın zaman ki gibi toprağa
Süzülür bedeninden lağım düşünceler
Hissedince o soğukluğu ruhunda
Uçar gider fark etmesen de kelimeler
Arınır ruhun arınır duygun
İşte öyle ona benzer bu evren
Tutunur toprağa ruhun artık olgun
Eğer yoksa kafanda bir dümen
Sevgi lazım artık sevgi lazım
Hızlandı dünya daha çok sevgi lazım
Sevgi lazım yanında ışık lazım
Kirlendi dünya daha çok sevgi lazım";;Vedat Tozyılmaz – Sevgi Lazım 
"

Ceylan Koynat feat. Yiğit Mahzuni – Gelen Lazım Şarkı Sözü





Yoruldum, gözü kör kulağı sağır
Ve kalbi karalardan
Yoruldum ne sarabildiğim ne de çaresini bulabildiğim kanayan yaralardan
Ben yine aşkın kölesi
Mevsimin son meyvesi
Bırakıp gitme vakti diyor
Dinlesem içimdeki bu acı sesi
Ne bir sen beni her gün bitiren
Çıkmazlara götüren
Bana sevdiren lazım
Ne bir gül ne de üstünde diken
Benim boynumu büken
Ben tam bittim derken gelen lazım";;Ceylan Koynat feat. Yiğit Mahzuni – Gelen Lazım 
"Oğuzhan Koç – Utan Şarkı Sözü





Halimiz ne görüyor musun?
Vaktin bile yok konuşmaya
Sen de bir ses duyuyor musun
Bu kalbimin kırılmasıydı galiba
Hani koymazdın gözümde yaş?
Verdiğin sözü tutuyor musun?
Koptuk işte bak yavaş yavaş
Sen de eski bizi özlüyor musun?
Dünlerden,bugünlerden,
Bırakıp gittiğin gönüllerden,
Koparıp verdiğin o güllerden,
Utan biraz utan kızarsın o yüzün
Hislerden,hissedenden
Gözlerine dalıp gidenlerden,
Sözlerine kanıp gülenlerden
Utan biraz utan kızarsın o yüzün
Bu kalp görmedi hiç böyle hüzün";;Oğuzhan Koç – Utan 
"Jabbar – Hep Olsan Şarkı Sözü





Pır Pır Eder Uçamaz Bu Kelebek
Kanadı Altın, Içi Hep Yorgun
Hayat Hep Çok Sert Mi Olmuş Der
Çare Nedir Bilemez, Bulamaz
Hep Olsan, Tadın Olmaz
Öyle Gel Git Zamanla
Eksiksiz Kıymet Bulmaz
Ya Da Yalan Dolanla
Kitlenir Çözemezsin
Dur Durak Bilmez Dünya
Sonunu Getiremezsin
Hani Aklın Kalır Ya
Kanatlarını Çırpamaz, Ürkek..
Derya Da Dünden Beri Gönlünden
Sabah Olmaz Mı, Yeri Dolmaz Mı
Görmezsen Hiç, Olmaz
O Güneş..
Hep Olsan, Tadın Olmaz
Öyle Gel Git Zamanla
Eksiksiz Kıymet Bulmaz
Ya Da Yalan Dolanla
Kitlenir Çözemezsin
Dur Durak Bilmez Dünya
Sonunu Getiremezsin
Hani Aklın Kalır Ya";;Jabbar – Hep Olsan 
"Oğuz Berkay Fidan – H.Y.G. Şarkı Sözü





Gitmem gerek bu sinsi alışmışlıktan
Sonrası da hayırlısı
Senle ben yakıyor artık
Ve bundan sonra
Olmayacak, bir daha hatıralar yokmuş gibi
Hiç tanışmamış gibi, hiç görüşmemiş gibi
Senle olmamış gibi
Nasıl vuruyor adama hiç olmamış gibi yapmak
İçim yanar yüreğim daralır sonsuza
Nasıl koyuyor adama bir anda unutmak
Öyle bir aşktı ki bu yere göğe sığmayan
Hiç unutulmayan";;Oğuz Berkay Fidan – H.Y.G. 
"Işın Karaca – Geri Gelme Şarkı Sözü





Anlat bana derdini, kendimi bildim bileli yoksun,
Saatler dursun zor
Hasretten öldüm, beni bin parçaya böldün yine
Yine aynı şey biri var, beni benden çalıp giden,
Yüreği yerinden söken, ciğerimi yakan
Gelme, gittiğin yerde kal
Geri gelme, ben böyle mutluyum hemde,
Bir bildiği vardır bu hayat bana anlatıyor,
Bir şeyler yine";;Işın Karaca – Geri Gelme 
"Sertab Erener – Rüzgar Şarkı Sözü





İnsan yalnız kalamaz, yapamaz ah
Döner durur yatağında, uyuyamaz ah
Ben seni kaybettim, anladım vah
Gündüzleri gecelere zor bağladım vah
Hani zaman her şeye ilaç ya, yalanmış ah
Hani aşklar hep gelip geçer ya, kalırmış ah
Rüzgar esti üstüme üstüme üstüme oof
Seni vurdu yüzüme yüzüme yüzüme oof
İnsan yalnız kalamaz, yapamaz ah
Döner durur yatağında, uyuyamaz ah";;Sertab Erener – Rüzgar 
"Güven Yüreyi – Aldanmam Şarkı Sözü





Sağın Solun belli değil ama
Sonun belli bana
Kırık bir kalp düşer
Büyük ihtimalle benim payıma
Bir geldin yoruldum
Ne umdum ki ne buldum
Hep aynı biri haklı kalan tövbeli ızdıraplı
Bir daha aldanmam ne kara göze kaşa
Bir daha aşk mı yok düşman başına
Yemin olsun gözümden akan bu yaşa
Hani yerin yanımdı çok seviyordun
Yerin yurdun batsın istemiyorum";;Güven Yüreyi – Aldanmam 
"Zeynep Bastık – Çukur Şarkı Sözü





Tenim söver dilim döver
Gitmem yine de
Çıkmazda aklım
Benden ne yarattın
Hiç gitme diye
Büyüler yaptım
Görüyorum önümde
Bitmeyecek sensizliği
Ben biliyorum
Sen asla bilme bensizliği
Alışırsın diyorsun
Ben buna hiç alışamam
Ürküyorum diyorsun
Beni de anla o zaman
Çok yalnızım çok
Ama asla yalnız kalamam
Korkma o çukurdan
Seni ben alıcam";;Zeynep Bastık – Çukur 
"Günay Aksoy – Her Yer Karanlık Şarkı Sözü





Bir gülüşün bile yeterdi bana
Ben geldim sana ama engeldi zaman
Kalbin buz gibi benden uzak
Anlattım derdimi bitiremedim
Ağladım ağladım hiç gülemedim
Son çare bu aşkımıza
Her yer karanlık ama korkma sarıl bana
Sevgilim yazdığım son satır sana
Sarıl da artık bitsin bu hasret
Kor gibi yaksan bile
Sar beni baştan yine
Su olup aksan bile
Sevgilim.";;Günay Aksoy – Her Yer Karanlık 
