baslik,sarki_sozu
Sordum sarı çiçeğe,"Sordum sarı çiçeğe
Annen baban var mıdır
Çiçek eydür derviş baba
Annem babam topraktır.

Sordum sarı çiçeğe
Evlât kardeş varmıdır
Çiçek eydur derviş baba
Evlât kardeş yapraktır.

Sordum sarı çiçeğe
Niçin benzin sarıdır
Çiçek eydür derviş baba
Ölüm bize yakındır

Sordum sarı çiçeğe
Size ölüm varmıdır
Çiçek eydür derviş baba
Ölümsüz yer var mıdır

Sordum sarı çiçeğe
Niçin boynun eğridir
Çiçek eydür derviş baba
Özüm Hakk'a doğrudur

Sordum sarı çiçeğe
Sen kimin ümmetisin
Çiçek eydür derviş baba
Muhammed ümmetiyim.

Sordum sarı çiçeğe
Sen beni bilir misin
Çiçek eydür derviş baba
Sen Yûnus değil misin."
Uyan ey gözlerim gafletten uyan,"Uyan ey gözlerim gafletten uyan
Uyan uykusu çok gözlerim uyan
Azrail'in kasdı canadır inan
Uyan ey gözlerim gafletten uyan
Uyan uykusu çok gözlerim uyan

Seherde uyanırlar cümle kuşlar
Dil-ü dillerince tespihe baslar
Tevhit eyler dağlar taslar ağaçlar
Uyan ey gözlerim gafletten uyan
Uyan uykusu çok gözlerim uyan

Bu dünya fanidir sakin aldanma
Mağrur olup taç-u tahta dayanma
Yedi iklim benim deye güvenme
Uyan ey gözlerim gafletten uyan
Uyan uykusu çok gözlerim uyan

Benim, Murat kulun, suçumu affet
Suçum bagislayub günahım ref'et
Resul'un sancağı dibinde hasret
Uyan ey gözlerim gafletten uyan
Uyan uykusu çok gözlerim uyan"
Yine aşkın sırrı düştü serime,"Yine aşkın sırrı düştü serime
Ben Hû demeyince eylenmezem
Hakk'ın muhabbeti doldu gönlüme
Ben Hû demeyince eylenmezem
Allah demeyince dinlenemezem

Âşık Yunus masivayı koşunlar
Kalbleri hem arıtsınlar yusunlar
Kimi deli kimi uslu desinler
Ben Hü demeyince eylenmezem
Allah demeyince dinlenemezem"
Zahid bizi tan eyleme,"Zahid bizi ta'n eyleme
Hak ismin okur dilimiz
Sakın efsane söyleme
Hazret’e varır yolumuz

Sayılmayız parmağ ile
Tükenmeyiz kırmağ ile
Taşramızdan sormağ ile
Kimse bilmez ahvâlimiz

Erenler yolun güderiz
Çekilip Hakk’a gideriz
Gaza-yı ekber ederiz
İmam Ali’dir ulumuz

Erenlerin çoktur yolu
Cümlesine dedik beli
Gören bizi sanır deli
Usludan yeğdir delimiz

Tevhid eden deli olmaz
Allah deyen mahrum kalmaz
Her seher açılır solmaz
Bahara erer gülümüz

Muhyi sana ola himmet
Aşık isen cana minnet
Elif Allah mim Muhammed
Kisvemizdir dalımız"
Âdemoğlu aç gözünü,"Âdemoğlu aç gözünü!
Yeryüzüne kıl, bir nazar!
Gör bu latif çiçekleri!
Hangi kuvvet yapar, bozar?

Bak her çiçek bir naz eder,
Över Hakk’ı, niyaz eder,
Kurtlar, kuşlar, hepsi birden,
Hâlık’ına âvâz eder.

Bu çiçekler bezenirken,
Göğe doğru uzanırken,
İbret alıp özenirken,
Habersizce gelir sefer.

Rengi döner günden güne,
Toprağa dökülür yine,
Bu ibrettir söyleyene,
Hakikati, ârif sezer.

Bu sırları duymalıydın,
Büyüklere uymalıydın,
Dinimizi yaymalıydın,
Gafletlerin neye değer?

Dünyaya gelen gidermiş,
Konanlar bir gün göçermiş,
Ecel şerbeti içermiş,
Her kim, bu mânadan geçer.

Koşanlar bir gün yorulur,
Yapılan işler sorulur,
Kim nettiyse onu bulur,
Hak’tan gelir hayırla şer."
Erenlerin sohbeti,"Erenlerin sohbeti,
Ele giresi değil.
Sohbete eren kişi,
Mahrum kalası değil.

Bulmak istersen eri,
Boşa gezme her yeri!
Sarraf tanır cevheri,
Herkes bilesi değil.

Akan bir pınar olsa,
Testi tersine konsa,
Kırk yıl orada kalsa,
Kendi dolası değil.

Sohbetle parlar iman,
Talip kazanır irfan,
İnsanı ârif yapan,
Fesi, hırkası değil.

istersen himmet,
Edebe et riayet,
Ruha gıdadır sohbet,
Kâğıt helvası değil!

Bilen, tanıyan, ilim irfan sahibi
Bilme, anlama, marifet ilmi
Talep eden, isteyen"
Canım kurban olsun senin yoluna,"Canım, kurban olsun senin yoluna
Adı güzel, kendi güzel Muhammed
Gel şefaat eyle kemter kuluna
Adı güzel, kendi güzel Muhammed

Mümin olanların çoktur cefası
Ahirette olur zevk-u safası
Onsekizbin âlemin Mustafası
Adı güzel, kendi güzel Muhammed

Yedi kat gökleri seyran eyleyen
Kürsinin üstünde cevlan eyleyen
Miracda, ümmetin Haktan dileyen
Adı güzel, kendi güzel Muhammed

Yunus neyler iki cihanı sensiz
Sen hak Peygambersin şeksiz şüphesiz
Sana uymayanlar, gider imansız
Adı güzel, kendi güzel Muhammed"
Hiç aksatma namazı,"Dense de sana deli,
Aksatma kıl namazı!
Eğer değilsen ölü,
Aksatma kıl namazı!

Yap dinin gereğini!
Temizle yüreğini!
Dik dinin direğini!
Aksatma kıl namazı!

Önemli değil yaşın,
Secdeye varsın başın,
Ne yazın, ne de kışın,
Aksatma kıl namazı!

Rabbimizi zikreyle!
Her hâline şükreyle!
Ölümünü fikreyle!
Aksatma kıl namazı!

Gönlün namazda olsun!
Mahşerde yüzün gülsün!
Kabrinde ışık olsun!
Aksatma kıl namazı!

Amel et hak fermanla!
Alışırsın zamanla,
Can verirsin imanla,
Aksatma kıl namazı!

Bir gün çıka can dahi,
Yalnız kala ten dahi,
Dervişsen dahi,
Aksatma kıl namazı!"
Kurtar beni,"Tanıdım Rabbim seni,
Nefsimden kurtar beni!
Yıktı bütün güveni,
Nefsimden kurtar beni!

Keser gidecek yolu,
Hem bağlar eli kolu,
Şaşırtır sağ solu,
Nefsimden kurtar beni!

Şu nefsim harap etti,
Her şeyi türap etti,
Hissimi serap etti,
Nefsimden kurtar beni!

İçimde doymaz ejder,
Beni hep yutmak ister,
Ömrümü etti heder,
Nefsimden kurtar beni!

Gerçekler oldu hayâl,
Korkutur beni bu hâl,
Kararır her gün ikbal,
Nefsimden kurtar beni!"
Gitmezmiş,"Mevlâ’yı bilip seven,
Başkasını anmazmış,
Onu maksut edinen,
Şeytanlara kanmazmış.

Ölmez âşığın canı,
Çürümez onun teni,
Aşk kimi kıldı fâni,
Ona zeval ermezmiş.

Emrine baş eğenin,
Vuslatına erenin,
Bülbül gibi ötenin,
Kimse dilin bilmezmiş.

Aşkı ile bilişen,
Allah için bölüşen,
Halvetine erişen,
Ölümden çekinmezmiş.

Büyük sözü tutmayan,
Kibri söküp atmayan,
Aşk tadını tatmayan,
Doğru yola gitmezmiş.

Ona gönül verenin,
İlmi ona erenin,
Kalb gözüyle görenin,
Talihleri sönmezmiş."
Seviyorum Rabbim seni,"Aşkın aldı benden beni,
Seviyorum Rabbim seni,
Senin sevgin, pek tatlıymış,
Seviyorum Rabbim seni.

Ne varlığa sevinirim,
Ne yokluğa yerinirim,
Aşkın ile zevklenirim,
Seviyorum Rabbim seni.

Övdün iyi hasletleri,
Boşa gitmez gayretleri,
Verdin sonsuz nimetleri,
Seviyorum Rabbim seni,

Boş işlere pişman oldum,
Senin sevgin ile doldum
Ben hakiki zevki buldum,
Seviyorum Rabbim seni.

Maksadımız kavuşmaktır,
İbadete yapışmaktır,
Dünyaya da çalışmaktır,
Seviyorum Rabbim seni.

Din düşmanı vardır nice,
Çatar İslam’a sinsice,
Çalışmalı gündüz gece!
Seviyorum Rabbim seni.

Sevmek lâfla olmaz
Çalışmakla emredildi,
Hâlinden de bilinmeli,
Seviyorum Rabbim seni."
Yalvar yüce Allah’a!,"Doğru söze darılma!
Yalvar yüce Allah’a!
Hak yolundan ayrılma!
Yalvar yüce Allah’a!

Namazı kılmalısın,
Orucu tutmalısın,
Zekâtı vermelisin,
Yalvar yüce Allah’a!

Gün gelir, gözün görmez,
Kulakların işitmez,
Bu fırsat ele geçmez,
Yalvar yüce Allah’a!

Sağlığı ganimet bil!
Her saati nimet bil!
Hizmeti ibadet bil!
Yalvar yüce Allah’a!

Boşuna hayat sürme!
Nefsine kuvvet verme!
Söz tut, kimseyi yerme!
Yalvar yüce Allah’a!

Fırtına gibi esme!
Olur olmaza küsme!
Mevla’dan ümit kesme!
Yalvar yüce Allah’a!

Seherde yağar rahmet,
Bilmelisin ganimet,
Gitsin kalbdeki zulmet,
Yalvar yüce Allah’a!

Allah’ın adın yâd et!
Ruhu ve kalbi şad et!
Bülbül gibi feryat et!
Yalvar yüce Allah’a!

Âşık tembel oturmaz,
Mâşuka toz kondurmaz,
Hiç kimseyi kandırmaz,
Yalvar yüce Allah’a!"
Namazını aksatma,"Namaz dinin direği,
Kul olmanın gereği,
Sevindirir meleği,
Namazını aksatma!

İnsan dertten kurtulur,
Kalbi imanla vurur,
Rabbimiz razı olur,
Namazını aksatma!

Gözün nuru namazdır,
Bekleme vaktin azdır!
Meleğe sevap yazdır!
Namazını aksatma!

İnsanın saadeti,
İmanın alameti,
İstersen selameti,
Namazını aksatma!

Hak’tan yüce hitaptır,
Edası çok sevaptır,
Kabrimizde cevaptır,
Namazını aksatma!

Ruhumuza gıdadır,
Kalbimize ciladır,
En kıymetli duadır,
Namazını aksatma!

Herkes namaza muhtaç,
Müminler için Mirac,
Mahşerde başına taç,
Namazını aksatma!

Gönülleri şen eder,
Kötülükten men eder,
Doğru huzura gider,
Namazını aksatma!

Namaz yüce bir paye,
Mahşerde olur saye,
Vasıta değil, gaye,
Namazını aksatma!

Göster üstün gayreti!
Büyüktür fazileti,
Kaçırma cemaati!
Namazını aksatma!

Kim doğru namaz kılmaz,
Hikmetten nasip almaz,
Bunalır, huzur bulmaz,
Namazını aksatma!

Namaz şifa her derde,
Cehennem için perde,
Kılmalısın her yerde,
Namazını aksatma!

Yüzler kaplanır nurla,
Vücut çevrilir surla,
Kılmalısın şuurla,
Namazını aksatma!

Ölüm özür anlamaz,
Yaşlı ve genç ayırmaz,
Dünya sana da kalmaz,
Namazını aksatma!

Namaz imanın başı,
, dök gözden yaşı!
Erit kalbdeki taşı!
Namazını aksatma!"
Saadet anahtarı,"Namaz dinde direktir, ibadette yürektir,
Feyze kavuşmak için, doğru kılmak gerektir.

Kurtuluş kolaylaşır, secdeye değse başlar,
Saadet anahtarı, ancak namazla başlar.

Doğru kılınan namaz, gönülleri şen eder,
Huzura kavuşturur, kötülükten men eder.

Namaz dinde gayedir, İslam’ın binasıdır,
Günahları temizler, kalblerin cilasıdır.

Kim ki, kötülüklerden bulmuyorsa selâmet,
Namazları gafletle kıldığına alâmet.

Namaz en efdal amel, edası çok sevaptır,
Münker ve Nekir için, en güzel bir cevaptır.

Namazı kılmayanın, kabul olmaz duası,
İyi işler yapsa da, görülmez pek faydası.

Beynamazın imanı, elbette sağlam kalmaz,
Kolayca küfre girer, farkında bile olmaz.

Namaza önem verip, doğru dürüst kılmalı,
Yalan yanlış kılmaktan, utanıp sıkılmalı.

felah isteyen, bıraksın itirazı!
Tadil-i erkân ile kılmalı her namazı."
Gelip geçti ömrüm,"Bunca yıllar geldi geçti,
Bir yel esip geçmiş gibi,
Hele bana şöyle geldi,
Bir göz açıp yummuş gibi.

Bu sözüme Hak tanıktır,
Bu can gövdeye konuktur,
Bir gün gelir, çıkar gider,
Kafesten kuş uçmuş gibi.

İnsan için ne demişler?
Ekinciye benzetmişler,
Kimi biter, kimi yiter,
Yere tohum saçmış gibi.

Bu dünyada bir nesneye,
Yanar içim, göynür özüm.
Henüz gençken ölenlere,
Gök ekini biçmiş gibi.

Bir hastaya vardın ise,
Bir içim su verdin ise,
Yarın anda sana gele,
Hak şerbetin içmiş gibi.

Bir yoksulu gördün ise,
Eski bir şey verdin ise,
Yarın elbet karşı gele,
Yeni kaftan biçmiş gibi.

bu dünyada,
İki kişi kalır derler.
Meğer Hızır, İlyas ola,
Âb-ı hayat içmiş gibi.


Dertlenmek, üzülmek,
Kıymetli elbise
Ölümsüzlük sağlayan su, hayat suyu"
Yakup aleyhisselam,"Kimse bilmez onun acı hâlinden,
Hakk'ın ismi düşmez idi dilinden,
Oğlu uçup gitti Kenan ilinden,
Ağlar Yakup nebi, Yusuf’um diye.

Kardeşleri sözde onu aldattı,
Hazret-i Yusuf’u kuyuya attı,
Sandılar ki suyun dibine battı,
Ağlar Yakup nebi, Yusuf’um diye.

Yusuf’u hocada okumaz oldu,
O güzel bülbülü şakımaz oldu,
Sokağa, oyuna çıkamaz oldu,
Ağlar Yakup nebi, Yusuf’um diye.

Kanadı kırıktı, ağrırdı başı,
Dinmek bilmez idi, gözünün yaşı,
Âhı inletirdi dağı ve taşı,
Ağlar Yakup nebi, Yusuf’um diye.

Attılar kuyuya, ölüm kastına,
Yetişmişti imdat Rabbin dostuna,
Hak izniyle çıktı suyun üstüne,
Ağlar Yakup nebi, Yusuf’um diye.

Durmadan Yusuf’um diye anıyor,
Evlat hasretiyle ciğer yanıyor,
Bir gün çıkar gelir diye sanıyor,
Ağlar Yakup nebi, Yusuf’um diye.

Kardeşleri başvurdular yalana,
Gömleğini boyadılar al kana,
(Kurt yedi) dediler babalarına,
Ağlar Yakup nebi, Yusuf’um diye.

Sözlerinin hepsi elbet yalandı,
Kenan’ın kurtları gelip toplandı,
(Biz yemedik) diye içtiler andı,
Ağlar Yakup nebi, Yusuf’um diye.

Kuyudan çıkınca onu sattılar,
Kervandaki kölelere kattılar,
Hasetliğin acısını tattılar,
Ağlar Yakup nebi, Yusuf’um diye.

Ve Yusuf olunca, Mısır’a sultan,
Kardeşleri görüp oldular pişman,
Özür dilediler hemen o zaman,
Ağlar Yakup nebi, Yusuf’um diye."
Kervan göçer,"Gaflet uykusundan uyanmaz mısın?Kervan göçer, dağ başında kalırsın.
Tellal çağırırken, inanmaz mısın?
Kervan göçer, dağ başında kalırsın.

Öyle bakıp durma sağa ve sola!Issız yerde kalma, düş hemen yola!
Haydi, kalk git Allah yardımcın ola!
Kervan göçer, dağ başında kalırsın.

der, ortada kalmasın ölün!
Boş şeyler konuşma, zikretsin dilin!
Yabancı diyarda bilinmez ilin!
Kervan göçer, dağ başında kalırsın."
Mahvetti beni bu aşk,"Gönlüm düştü sevdaya,
Mahvetti beni bu aşk.
Başım girdi belaya,
Mahvetti beni bu aşk.

Yürürüm yana yana,
Aşk boyar beni kana,
Kavuşulur mu ona?
Mahvetti beni bu aşk.

Kâh aktırır sel gibi,
Kâh estirir yel gibi,
Tozdurur bir yol gibi,
Mahvetti beni bu aşk.

Sular gibi çağlarım,
Ciğerimi dağlarım,
Şeyhim diye ağlarım,
Mahvetti beni bu aşk.

Düşmüşüm kaldırmıyor,
Vuslata erdirmiyor,
Ağlatıp güldürmüyor,
Mahvetti beni bu aşk.

Gezerim ilden ile,
Sorarım dilden dile,
Şu hâlimi kim bile,
Mahvetti beni bu aşk.

Mecnun gibi yürürüm,
Yâri düşte görürüm,
Uyanınca eririm,
Mahvetti beni bu aşk.

Sıkıntı bana yetti,
Öldürmeye kast etti,
Aşkı beni mest etti,
Mahvetti beni bu aşk.

Benzim sarı, gözüm yaş,
Bağrım delik, ağrır baş,
Biterim yavaş yavaş,
Mahvetti beni bu aşk.

um biçareyim,
Baştanbaşa yâreyim,
Dostumdan avareyim,
Mahvetti beni bu aşk."
Veysel Karani,"Resul-ü ekremin kıymetli yâri,
Yemen diyarında, Veysel Karani.
Söylemez yalanı, yemez haramı
Yemen diyarında, Veysel Karani.

Seher vakti kalkıp yola giderdi,
Mevla’nın ismini çok zikrederdi,
Çok ucuz fiyata deve güderdi,
Yemen diyarında, Veysel Karani.

Elinde asası, hurma dalından,
Sırtında hırkası, deve yününden,
Kötü söz çıkmazdı onun dilinden,
Yemen diyarında, Veysel Karani.

Üveys der, mescide hemen gireydim,
Resulün yüzünü bir kez göreydim,
Ayağın tozuna yüzüm süreydim,
Yemen diyarında, Veysel Karani."
Gitmeye geldim,"Burada kararım yok,
Dönüp gitmeye geldim.
Müşteri az, malım çok,
Kârsız satmaya geldim.

İşim kavga değildir,
Benim derdim sevgidir,
Dost evi gönüllerdir,
Gönül yapmaya geldim.

Dosta aşk deliliği,
Bilip bu inceliği,
Kaldırıp ikiliği,
Birlik etmeye geldim.

O efendi, ben kulum,
Bahçede durur gülüm,
Güle konan bülbülüm,
Durup ötmeye geldim.

Ahbaplarım burada,
Bilişirler orada,
Hocamla tanışıp da,
Hâl arz etmeye geldim.

Bu miskine haber sal!
Dost nerdeyse orda kal!
Benden doğru haber al!
Canı vermeye geldim.

Buâşık olmuş,
Mâşuk derdiyle solmuş,
Yaşlanmış, vâde dolmuş,
Kabre girmeye geldim."
Diye diye,"Hikmetlidir derviş sözü,
Nuru belli eder yüzü,
Yaş akıtır dertli gözü,
Akar Allah diye diye.

Has bahçeye bülbül konar,
Her çeşitten name sunar,
Âşıkların bağrı yanar,
Yanar Allah diye diye.

Doğan kişi, bir gün ölür,
Yaşayanlar, elbet görür,
Yorulmadan güneş yürür,
Yürür Allah diye diye.

Bahar gelir, erir çığlar,
Yağmur yağar, bulut ağlar,
Vadilerde sular çağlar,
Çağlar Allah diye diye.

Kurtlar ulur, itler ürür,
Kimi ölür, kimi çürür,
Kimi gözü duman bürür,
Bürür Allah diye diye.

bahçende gül açar,
Kokusu etrafa saçar,
Gül üstünde bülbül uçar,
Uçar Allah diye diye."
Ey rahmeti bol padişah,"Ey rahmeti bol padişah
Cürmüm ile geldim sana
Ben eyledim hadsiz günah
Cürmüm ile geldim sana

Hadden tecavüz eyledim
Günah deryasın boyladım
Malum sana ben neyledim
Cürmüm ile geldim sana

Utanmadım hiçbir zaman
Ettim günah gizli ayân,
Vurma yüzüme el-amân
Cürmüm ile geldim sana

Aslım bir damlacık meni
Halk eyledin ondan beni
Seviyorum rabbim seni
Cürmüm ile geldim sana

Gerçi çoktur fıskı fücûr
Sayılmaz bendeki kusur
Fakat senin adın gafur
Cürmüm ile geldim sana

Günahımla dolar cihan
Sana ayân zâhir nihan
Boldur sende elbet ihsan
Cürmüm ile geldim sana

Adın senin gaffâr iken
Ayıp örten Settar iken
Kime gidem sen vâr iken
Cürmüm ile geldim sana

Doğru bir kulluk etmedim
Rızan üzere gitmedim
Emirlerini tutmadım
Cürmüm ile geldim sana

Milyonlarca etsem günah
Sensin öyle bir padişah
Lâ-taknetû yeter penah
Cürmüm ile geldim sana

İsyanda Kuddusi şedîd,
Kullukta bir battal pelîd
Kesmem senden asla ümîd
Cürmüm ile geldim sana"
Derdim bana derman imiş,"Derman arardım derde,
Derdim bana dermanmış.
Burhan sorardım asla,
Aslım bana burhanmış.

Sağı solu gözlerken,
Ben dostumu özlerken,
Yerde gökte ararken,
O, can içinde canmış.

Sanırdım ben ayrıyım,
Dost gayrı, ben gayrıyım,
Nasıl bir aşk eriyim?
Bildim ki ol cananmış.

Böyle nerden gelirsin?
Nerelere gidersin?
Nerden gelip gittiğin,
Anlamayan hayvanmış.

Gidip mürşide varın!
Yüzü güldüre yarın,
Mürşitsiz olanların,
Bildikleri bir zanmış.

işit sözü!
Örtülmez hakkın yüzü,
Olan manevî gözü,
Görenlere ayanmış."
Aşkın ile âşıklar,"Aşkın ile âşıklar,
Yansın ya Resulallah.
İçip aşk şerbetini,
Kansın ya Resulallah.

Dünyada yoktur eşi,
Resullerin kardeşi,
İki cihan güneşi,
Sensin ya Resulallah.

Seni candan sevene,
Hürmet ile övene,
Müslüman olan tene,
Cansın ya Resulallah.

Ölçümüzsün her işte,
Gidiş de, hem gelişte,
İnanmayan ateşte,
Yansın ya Resulallah.

Özler’un canı,
Aşkı kaplar cihanı,
Sultanların sultanı,
Sensin ya Resulallah."
Tahtadan Kutu,"Tahtadan yapılmış bir uzun kutu
Baş tarafı geniş ayak ucu dar
Çakanlar bilir ki bu boş tabutu
Yarın kendileri dolduracaklar

Her yandan küçülen bir oda gibi
Duvarlar yanaşmış tavan alçalmış.
Sanki bir taş bebek kutuda gibi
Hayalim içinde uzanmış kalmış.

Cılız vücuduma tam görünse de
İçim bu dar yere sığılmaz diyor
Geride kalanlar hep dövünse de
İnsan birer birer yine giriyor.

Ölenler yeniden doğarmış gerçek
Tabut değildir bu bir tahta kundak
Bu ağır hediye kime gidecek
Çakılır çakılmaz üstüne kapak"
