id,baslik,sarki_sozu,sarki_turu
13,Annem entari almış,"annem entari almış
siyah dalları varmış
sevmez olaydım
yarimin varmış
beyim dağlarda dağlarda
koyun güder ovalarda
beyaz giyme tanırlar
seni yolcu sanırlar
senin fidan boyunu
nazar eder yolcular
beyim dağlarda dağlarda
koyun güder ovalarda
yatma yeşil çimene
uyur uyanamazsın
verme beni ellere
görür dayanamazsın
beyim dağlarda dağlarda
koyun güder ovalarda
",halk
14,Arakçının mendedir Ceyran,"arakçının mendedir ceyran
sermişem çemendedir ceyran
alem gözele dönse ceyran
menim gözüm sendedir ceyran
aşığın çoktur senin çoktur
kipriğin oktur senin oktur
derdinden men deliyem
heç habarın yoktur senin yoktur
derdinden men deliyem ceyran
haberin yoktur senin ceyran
sene men gül demirem ceyran
gülün ömrü olur ceyran
sene bülbül deyerem ceyran
bülbül avaz olur ceyran
aşığın çoktur senin çoktur
kipriğin oktur senin oktur
derdinden men deliyem
heç habarın yoktur senin yoktur
derdinden men deliyem ceyran
haberin yoktur senin ceyran
",halk
15,Ayağına giymiş sedef nalini,"ayağına giymiş sedef nalini
aşka düştüm bilmez hâlimi
elimden almak isterler yârimi
yandım eyle zâlim el hâlim yaman
sönmez ateşi zaman zaman
yüreciğim demir taş
gözlerimden akan kandır yaş
sevda başıma gelmiş
yandım eyle zâlim el hâlim yaman
sönmez ateşi zaman zaman
",halk
16,Ayağına potini giymiş yürümüş,"ayağına potinini giymiş yürümüş
sırma saçlarını çözmüş sürümüş
etek fistanını giymiş bürünmüş
tarla kenarına grebi düşmüş
menderes menderes
menderes
yarsız kal
çeyizi sandıkta basılı kaldı
mehmetin gözleri sulara daldı
kara haberi duyan buna ağladı
sular ayşeyi yardan ayırdı
menderes menderes
menderes
yarsız kal
",halk
17,Ayva çiçek açmış yaz mı gelecek,"ayva çiçek açmış yaz gelecek
gönül sevdadan vaz geçecek
bana ettiklerin gelecek
yandım allah yandım yandırma beni
derin uykulardan kaldırma beni
seviyorum diyerek kandırma beni
ayaş yollarından aştım geldim
boyunu boyuma ölçtüm geldim
güzeller içinden seçtim geldim
yandım allah yandım yandırma beni
derin uykulardan kaldırma beni
seviyorum diyerek kandırma beni
ayaş yollarında kervanım var
beni öldürmeye fermanın var
ağlamaya sızlamaya dermanım var
yandım allah yandım yandırma beni
derin uykulardan kaldırma beni
seviyorum diyerek kandırma beni
",halk
18,Bağlamam var üç telli,"bağlamam var telli imanım
borcum var
gitti yörük kızı gelmedi imanım
kocaya varmış
imanım şalvar malvarlım
yörük kızın allahına yalvaralım
kesik başı kestane imanım
gölgesi bastı üstüme
kalkın gidelim baskına imanım
yörüğün kızının
imanım şalvar malvarlım
yörük kızın allahına yalvaralım
",halk
19,Bahar gelende mende,"gelende mende
bitirem göy çemende
men baharın gızıyam
kömleği kırmızıyam
uçmaya kanadım
menim laledir adım
çölünüzü bezerem
ele gezerem
başımda al şalım var
yanağımda halım var
yeyilmerem acıyam
çiçeklerin tacıyam
uçmaya kanadım
menim laledir adım
çölünüzü bezerem
ele gezerem
",halk
20,Bahçada gül ağacı,"bahçada gül ağacı
dibinde nidelim edelim
sinemdeki yaramın
olursun ilacı edelim edelim
çiçekler ekiliyor
bahçaya dikiliyor nidelim edelim

çekiliyor edelim edelim
bahçana giremiyorum
halını soramıyorum edelim edelim
sînende güller açmış
el atıp deremiyorum edelim edelim
",halk
21,Bahçada yeşil çınar,"bahçada yeşil çınar
boyun boyuma uyar
seni sevdim
bilmedim alem duyar
nanay gülüm nanay
kaküllüm
nanay nanay
esmer yarimsin nanay
nanay nanay
esmer yarimsin nanay
bahçalarda gül varı
var git ellerin yari
bana yar olmazsın
yüzüme gülme
nanay gülüm nanay
kaküllüm
nanay nanay
esmer yarimsin nanay
nanay nanay
esmer yarimsin nanay
",halk
22,Bahçalarda barım var,"bahçalarda barım var
heyva narım var
galem gaş gara gözlü
bahışlı yarim var
gel gara göz
gel gel gara göz
yüreğimde yara göz
derdime çare göz
gel gara göz
yandırdı güneş meni
gün ögünde daş meni
meni gözlerin yahdı
yandırmaz ateş meni
gel gara göz
gel gel gara göz
yüreğimde yara göz
derdime çare göz
gel gara göz
gözün kesme gözümden
mekatımla sözümden
yar yadından oynaşırahlım getti özümden
gel gara göz
gel gel gara göz
yüreğimde yara göz
derdime çare göz
gel gara göz
",halk
23,Bahçenizde güren var (Dudu kız),"bahçenizde güren var
pulluğunan süren var
i̇nkar etme dudu gız
sarılırken gören var
dudu gız öldüm yalınız
aşam aşam pencereyi depmeli
görüp görüp dudu gızı öpmeli
nerelisin dudu gelin nereli
deli oldum sana meyil vereli
bahçede güren dalı
dibinde buldum yari
söyleyem dinle
başıma gelen hali
dudu gız öldüm yalınız
aşam aşam pencireyi açmalı
bulup bulup dudu gızı gaçmalı
nerelisin dudu gelin nereli
verem oldum gız sana gönül vereli
ayva sarı nar sarı
ayvaya konar arı
kızını bana vermiyor
kirli gömlekli karı
dudu gız öldüm yalınız
aşam aşam pencireyi açmalı
bulup bulup dudu gızı gaçmalı
nerelisin dudu gelin nereli
verem oldum gız sana gönül vereli
",halk
24,Başımda altın tacım,"başımda altın tacım
susuzum acım
yarimi bana verin
gerisi anam bacım
gidiyom elinizden gülüm
kurtulam dilinizden
yeşil baş ördek olsam
su içmem gölünüzden
hoplatma
gülüm deniz dalgasız olmaz
gurban deniz dalgasız olmaz
gülüm sevdasız olmaz
sevdasız olmaz sevdasız olmaz
gülüm yiğit olan yiğidin
gurban yiğit olan yiğidin
gülüm başı sevdasız olmaz
başı sevdasız olmaz başı sevdasız olmaz
gülüm nerdesin nerdesin
gülüm kaldır camın perdesin
gülüm alacağım seni
gülüm galabalık yerdesin
deli deli deli deli deli deli
deli deli deli deli deli
galabalık yerdesin
",halk
25,Ben bir göçmen kızı gördüm Tuna boyunda,"göçmen kızı gördüm tuna boyunda
elinde besili kuzu kucaciğında
söyle göçmen kızı annen var midır
annem var babam var kalmışım öksüz
öksüz alayım seni
alayım gurbet elde sarayim seni
alayım yerde sarayim seni
teligrafın tellerınden haber midır
haber var mektûp var kalmışım öksüz
söyle göçmen kızı haber midır
gelen var giden var kalmışım öksüz
haber var mektûp var kalmışım öksüz
öksüz alayım seni
alayım gurbet elde sarayim seni
alayım yerde sarayim seni
",halk
26,Benden selam olsun Bolu beyine,"benden selam olsun bolu beyine
çıkıp su dağlara yaslanmalıdır
at kişnemesinden gargı sesinden
dağlar seda verip seslenmelidir
düşman geldi tabur tabur dizildi dizildi
alnımıza kara yazı yazıldı
tüfek icad mertlik bozuldu
kılıç kında paslanmalıdır
köroğlu döner şanından
çıkarır çoğunu meydanından
kır at köpüğünden düşman kanından
çevrem dolup şalvar ıslanmalıdır
",halk
27,Ben gidiyom emanetin Allah'a,"gidiyom emanetin allaha
kara gözlüm ellerde kal
çekti götürüyor gurbete
dost elinden ayrılıyor yol
gidiyorum kara gözlüm ağlama
ataş atıp yüreğimi dağlama
yolcuyum beni yoldan eğleme
ağlayarak ellerde kal
benim arz ettiğim kaşı kemandır
aşk elinden halim yamandır
gidiyorum gelen câm gümendir
helalleşek kara gözlüm gel
",halk
28,Beyaz giyme söz olur siyah giyme toz olur,"beyaz giyme söz olur
siyah giyme toz olur
gel kaçalım
muradımız olur
salına salına gel
yavrum dön dolaş bana gel
beyaz giyme tanırlar
seni yolcu sanırlar
bende talih
seni benden alırlar
salına salına gel
yavrum dön dolaş bana gel
alçak ceviz dalları
sıva beyaz kolları
yar geleyim
sarmışlar yolları
salına salına gel
yavrum dön dolaş bana gel
",halk
29,Beyoğlunda gezersin,"beyoğlunda gezersin
gözlerini süzersin
sevdiceğim yavrucağım
beni üzersin
fıkır fıkır fıkırdama
gel bana gel
şıkır şıkır şıkırdama
gel bana gel
mavi boncuk takarsın
canları yakarsın
sevdiceğim yavrucağım
benden kaçarsın
fıkır fıkır fıkırdama
gel bana gel
şıkır şıkır şıkırdama
gel bana gel
sütlüceye geçersin
sütlü kahve içersin
sevdiceğim yacrucağım
beni üzersin
fıkır fıkır fıkırdama
gel bana gel
şıkır şıkır şıkırdama
gel bana gel
",halk
30,Bir daracık pencere,"daracık pencere
el vurmayın incire
zalim baban duyarsa
bizi vurur zencire

öldürdün beni
yandırdın beni
mahvettin beni
elim deydi eline
mail oldum diline
dünyayı değişmem
saçının teline

öldürdün beni
yandırdın beni
mahvettin beni
ayın gününde
yılın ayında
kerpiç düşer
gönlümün sarayından

öldürdün beni
yandırdın beni
mahvettin beni
keman mıdır yay mıdır
güneş midir mıdır
zülfüne bendolmuşam
ayrılmak mıdır

öldürdün beni
yandırdın beni
mahvettin beni
",halk
31,Bir fırtına tuttu bizi deryaya kardı,"fırtına tuttu bizi deryaya kardı
bizim kavuşmalarımız yârim mahşere kaldı
cezve cezve kaynar kaynamaz
benim nazlı yârimin dilleri söyler söylemez
cezve cezve kaynıyor ocakta
kasatura belimizde yârim martinimiz kucakta
mapsanede yata yata yanlarım çürüdü
pencereden baka baka yârim elâda gözler süzüldü
",halk
32,Bir nefesçik söyleyim,"nefesçik söyleyim
dinlemezsen
aşk deryasını boylayım
ummana dalmaya geldim
aşk harmandan savruldum
elendim yoğruldum
kazana girdim kavruldum
meydana yenmeye geldim
şah hatayimdir özümde
hilaf yoktur sözümde
eksiklik özümde
darına durmaya geldim
",halk
33,Bir of çeksem karşıki dağlar yıkılır,"çeksem karşıki dağlar yıkılır
posta günü canım sıkılır
ellerin mektubu gelmiş okunur
benim yüreğime hançer sokulur
çeksem karşıki dağlar iniler
i̇flah etmez dert beni yeniler
",halk
34,Bin cefalar etsen almam üstüme oy,"cefalar etsen almam üstüme
şirin geldi dillerin dostum
varıp yadellere meyil verirsen
gış ola bağlana yolların dostum dostum
i̇lahi onmaya yardan ayıran
bahçede bülbüller ötüyor uyar
kula gölge allah’a ayan
senden ayrılalı gülmedim dostum dostum
sultan abdal’ım gülüm dermişler
şirin canıma kıymışlar
i̇ster isem dünya malın vermişler
sensiz dünya malı neylerim dostum dostum
",halk
35,Bodrum'lular erken biçer ekini (Bodrum Hakimi),"bodrumlular biçer ekini
feleğe gittin bodrum hakimi
astın mefaret hanım kendini
altın makas gümüş bıçağiyle doğradılar tenini
hakim hanım’ın memleketi kütahya tavşan
hakim hanım eyledin bizi düşman
kıydın mefaret hanım kendine
çifte doktor gümüş bıçağiyle doğradılar tenini
",halk
36,Böyle ikrar ilen böyle yolunan,"ikrar ilen yolunan
cefalı yar bana lazım değilsen mihnetli yar bana lazım değilsen
deli gönül sevmiş vazgelmek olmaz
cefalı yar bana lazım değilsen
geldi yanımı bağladı
gönül kalk gidelim sılaya gönül kalk gidelim hüseyne
bülbülün davası güllerinen
senin şirin dilin yâd ellerinen
çık zalim sevdiğim engellerinen
görünme gözüme lazım değilsen
geldi yanımı bağladı
gönül kalk gidelim hüseyne gönül kalk gidelim sılaya
bülbül eyleyip kanlar ağladı
didem yaşı sel sel çağladı çeşmim gözüm yaşı sel sel çağladı
geldi yanımı bağladı
tutma salacamdan lazım değilsen kılma namazımı lazım değilsen
geldi yanımı bağladı
gönül kalk gidelim hüseyne
",halk
37,Bugün ayın ışığı,"ayın ışığı elinde bal kaşığı
nerden geliyon mahlenin yakışığı
nerdesin nerdesin kaldır camın perdesin
diyeceğim kalabalık yerdesin
karşıdan geçti gelin elinde testi gelin
gitme yol göreyimde gençliğim geçti gelin
olur olur sevda sırınan olur
gözdür âlemi gezer gönül birinen olur
",halk
38,Bugün ayın üçüdür,"ayın üçüdür gülüm nanay narinay
girme bostan içidir yar girme bostan içidir
dodakların ham şeker
dilin badem içidir yar dilin badem içidir
belin incedir ince
leblerin gonçadır gonça
belin incedir ince
leblerin gonçadır gonça
dam üstedir damımız gülüm nanay narinay
goşadır eyvanımız yar goşadır eyvanımız
ordan çık men burdan
…
kör olsun düşmanımız yar kör olsun düşmanımız
belin incedir ince
leblerin gonçadır gonça
belin incedir ince
leblerin gonçadır gonça
arakçının mendedir gülüm nanay narinay
sermişem çemendedir yar sermişem çemendedir
dünya gözele dönse
menim gözüm sendedir yar menim gözüm sendedir
belin incedir ince
leblerin gonçadır gonça
belin incedir ince
leblerin gonçadır gonça
",halk
39,Bulut bulutun üstüne,"bulut bulutun
bulut dağların
bulut allahın seversen
gitme yârimin
canan el dersin
yâr edersin
bulut gelir pâre
dördü beyaz dördü kâre
açtın sineme yâre
bulunmaz derdime çâre
canan el dersin
yâr edersin
",halk
40,Bulut gelir seher ile,"bulut gelir seher
çiçek açar
sarılmış yâr i̇le
yağma yağmur
esme deli rüzigar
yârim yoldadır
bulut gelir pâre pâre
dördü aktır dördü kâre
açtın sîneme yâre
yağma yağmur
esme deli rüzigar
yârim yoldadır
bulut gelir duman olur
dağı taşı dolandırır
âhım tutar üründürür
yağma yağmur
esme deli rüzigar
yârim yoldadır
",halk
41,Bülbülüm altın kafeste,"bülbülüm altın kafeste
öter
ötme bülbül yârim hasta
gönlüme
hasret kaldım sevdiğime
sana dayanamam yârim
sana aldanamam
sana aldanamam yârim
sana dayanamam
bülbülleri hâr ağlatır
âşıkları yâr ağlatır
feleğe neylemişim
beni ağlatır
sana dayanamam yârim
sana aldanamam
sana aldanamam yârim
sana dayanamam
",halk
42,Cahildim dünyanın rengine kandım,"cahildim dünyanın rengine kandım
hayale aldandım yandım
seni benimsin sandım
ölürüm sevdiğim zehirim sensin
evvelim oldun ahirim sensin
sözüm benden kırıldığına
gidip dala sarıldığıma
gönülüm inanmıyor ayrıldığına
gözyaşım oldun kahirim sensin
evvelim oldun ahirim sensin
garibim can yıkıp gönül kırmadım
senden mekan kurmadım
gönüle ikrar vermedim
batınım oldun zahirim sensin
evvelim oldun ahirim sensin
",halk
43,Cemilemin gezdiği dağlar meşeli imanım,"cemilenin gezdiği dağlar meşeli imanım
gün cemilem derde düşeli
haydide hopbak cemilem edelim işe
nikahımızı gıysın ünnen gelin hoca memişe
cemile gız gezersin hayatta imanım
basma fistan parlakda babuç ayakda
haydide hopbak cemilem edelim işe
nikahımızı gıysın ünnen gelin hoca memişe
cemilenin fistanı saman sarısı imanım
gören sancek cemilem gız muhtar garısı
haydide hopbak cemilem edelim işe
nikahımızı gıysın ünnen gelin hoca memişe
",halk
44,Cevizin yaprağı dal arasında,"cevizin yaprağı dal arasında
güzeli severler bağ arasında
araya gelmişler
benim sevdiceğim arasında
evlerinin önü zerdali dalı
pencereden gördüm kınalı eli
benim sevdiceğim tomurcuk güldü
sensiz lokmaları yiyemez oldum
sensiz odalara giremez oldum
evlerinin önü bahçelik bağlık
işlemiş eline sağlık
yar bana yollamış beyaz yağlık
boynuna dolasın oynasın
",halk
45,Çalın davulları çaydan aşağıya amman,"çalın davulları çaydan aşağıya amman
mezarımı kazın dostlar belden aşağıya
koyun sularımı kazan dolunca amman
zalim gün ara ver
al başımdan sevdayı götür yâre ver
selanik selâm okunur amman
selâmın sedası dostlar câna dokunur
gelin olanlara kına yakılır amman
zalim gün ara ver
al başımdan sevdayı götür yâre ver
selanik selanik virân olasın amman
taşını toprağcığını seller alasın
benim yarsız kalasın amman
zalim gün ara ver
al başımdan sevdayı götür yâre ver
",halk
46,Çanakkale içinde aynalı çarşı,"çanakkale aynalı çarşı
gidiyom düşmana
gençliğim
çanakkale selvi
kimimiz nişanlı kimimiz evli
gençliğim
çanakkale üstünü duman bürüdü
fırka harbe yürüdü
gençliğim
çanakkale dolu testi
analar babalar umudu kesti
gençliğim
",halk
47,Çarşambayı sel aldı bir yar sevdim el aldı,"çarşamba’yı sel aldı
yâr sevdim el aldı
sevmez olaydım
elim koynumda kaldı
imiş imiş
kaderim imiş
sevda çekmesi
ateşten gömlek imiş
çarşamba yazıları
körpedir kuzuları
allah alnıma yazmış
kara yazıları
dağlar ulu dağlar
yârim gurbette ağlar
yâri olanlar
çeker ağlar
",halk
48,Çaya da düştü tutamadım kolunu (Ümmü Kız),"çaya düştü tutamadım kolunu ümmü kiz
çaya düştü tutamadım kolunu
uzak gitti bilemedim yolunu
mevlam etmiş ölümü
kanlı çaylar nerelere goydun ümmümü
suna boylumu
kadı geldi mahkemeler kuruldu
i̇fadesi mustancıktan soruldu
komşuları hakka yoruldu
akmayasıca çaylar nerelere koydun ümmümü
suna boylumu
",halk
49,Çek deveci develeri engine,"çek deveci develeri engine
rağbet i̇le zengine zengine canım
devesi var densiz
gerdanı var bensiz
olamam sensiz
durma bensiz
öpmelere
sıkmalara nazik
sıktırmış kollarını
altın gümüş bilezik
çek deveci develeri sulansın
sevip sevip düşen dolansın
köye varasım geldi
yari göresim geldi
pencereden görünce
camı gırasım geldi
devesi çanına
gerdanında benine
al yanağın gülüne
saçlarının teline
",halk
50,Çekemedim akça kızın göçünü,"çekemedim akça kızın göçünü göçünü
sırma saçlar bırak döğsün döşünü döşünü
gülüver görem mercan dişini dişini
yol ver bana çıbık geçeyim geçeyim
geçeyim
yaylaların yeli esmez esmez
sevdiğim rüyalara girmez girmez
girmesen gönül sana küsmez küsmez
yol ver bana çıbık geçeyim geçeyim
geçeyim
",halk
51,Çelik pazarında ufacık taşlar,"çelik pazarında ufacık taşlar
el ele tutmuş gidiyor dadaşlar
yaralarım alır gelir kardaşlar
ağalar vuruldum
vuruldum dilden dile duyuldum
benim yârim gezer bostanı
hanım kızlar okur destanı
yeşil geymiş kadifeden fistanı
ağalar vuruldum
vuruldum dilden dile duyuldum
",halk
52,Çorabını ördüğüm,"çorabını ördüğüm oğlan oğlan oğlan
derdine yandığım sana yandım oğlan
seni hasta dediler oğlan oğlan oğlan
noldu gurban olduğum sana yandım oğlan
oğlana bak oğlana boyu benzer fidana
fidan gül açmış kokulatmaz adama
oğlan destecik oğlan boyları gostacık oğlan
sana nazar değmesin tak nazarlık oğlan
çorapları yaşımış oğlan oğlan oğlan
ayakları üşümüş sana yandım oğlan
gidelim yarim oğlan oğlan oğlan
tan yerleri ışımış sana yandım oğlan
oğlana bak oğlana boyu benzer fidana
fidan gül açmış kokulatmaz adama
oğlan destecik oğlan boyları gostacık oğlan
sana nazar değmesin tak nazarlık oğlan
",halk
53,Çökertme'den çıktım da Halil'im,"çökertmeden çıktım halilim
başım selamet
bitezde yalısına varmadan halilim
koptu kıyamet
arkadaşım i̇brahim çavuş
allahıma emanet
burası aspat halilim
bitez yalısı
yüreğime ateş saldı
dostlar kurşun yarası
gidelim gidelim halilim
çökertmeye varalım
kolcular gelince halilim
nerelere kaçalım
olmayalım halilim
kurşun saçalım
burası aspat halilim
bitez yalısı
yüreğime ateş saldı
dostlar kurşun yarası
",halk
54,Çubuğum yok aman yol üstüne uzatam,"çubuğum yol uzatam
takatım yâr yolların gözetem
takatım yâr yolların gözetem
menendim seni kime benzetem
ört yârim yazmayı boylu
saramadım eller sarsın doyunca
yollarda ağlayıp gezer
sırma saçlarını bağlayıp çözer
sırma saçlarını bağlayıp çözer
bağrımı dağlayıp geçer
ört yârim yazmayı boylu
saramadım eller sarsın doyunca
",halk
55,Dalda çıkmış bir elma (Karabiberim),"dalda çıkmış elma
elmalı yâr cilveli yâr
aramızdan geçti yâr
karabiberim şekerim
senin kaderin benim tecellim
darılmaca barışmaca
seni seven beni seven
uzaklara gitme sana küserim
yakınlara gelir isen alır giderim
dalda çıkmış kiraz
kirazlı yâr şirazlı yâr
aramızdan geçti yâr
karabiberim şekerim
senin kaderin benim tecellim
darılmaca barışmaca
seni seven beni seven
uzaklara gitme sana küserim
yakınlara gelir isen alır giderim
dalda çıkmış ayva
ayvalı yâr cilveli yâr
aramızdan geçti yâr
karabiberim şekerim
senin kaderin benim tecellim
darılmaca barışmaca
seni seven beni seven
uzaklara gitme sana küserim
yakınlara gelir isen alır giderim
",halk
56,Dane dane benleri var yüzünde,"dane dane benleri var yüzünde
can alıcı bakışları gözünde
binbir dat var edasında nazında
yarden datlı var mola
sallanı sallanı gelen yar mola
küpeleri düşer
zülüfleri tel tel etmiş yanaktan
ağzı şeker bal akıyor dudaktan
yarden datlı var mola
sallanı sallanı gelen yar mola
barhanası vardır elinde
datlı kelâm gelir yarin dilinde
kemer olsam sevdiğimin belinde
yarden datlı var mola
sallanı sallanı gelen yar mola
",halk
57,Daracık sokakları duman bürüdü,"daracık sokakları duman bürüdü
külhan beyler kızları aldı yürüdü
benim yârim küçücüktü büyüdü
sürüden ayrılan sürmeli koyun
şafaklar atıyor gel yârim uyu
yüksek minareden attım taş
anam var babam
keskin bıçak bana arkadaş
sürüden ayrılan sürmeli koyun
şafaklar atıyor gel yârim uyu
yüksek minarede kandiller yanar
kandilin şavkına bülbülller kanar
i̇nsan sevdiğine yanar
sürüden ayrılan sürmeli koyun
şafaklar atıyor gel yârim uyu
",halk
58,"Dedim kız yaşın nedir, dedi başımdır","dedim gız yaşın nedir dedi başımdır
dedim gız yaşın nedir dedi başımdır
dedim gız kalem nedir dedi gaşımdır
dedim gız nedir dedi yaşımdır
dedim gız sünbül nedir dedi saçımdır
dedim gız sar boynuma dedi olmaz olmaz
olmaz olmaz olmaz
muhebbet olsa olar
olmaz olmaz
yar olmaz olmaz
dedim gız ala nedir dedi gözümdür
dedim gız nedir dedi özümdür
dedim gız gonca nedir dedi lebimdir
dedim gız şeker nedir dedi sözümdür
dedim gız çare nedir dedi olmaz olmaz
olmaz olmaz olmaz
muhebbet olsa olar
olmaz olmaz
yar olmaz olmaz
dedim gız uzah nedir dedi yolumdur
dedim gız aze nedir dedi adımdır
dedim gız baycan nedir dedi canımdır
dedim gız kulaç nedir dedi kolumdur
dedim gız sar boynuma dedi olmaz olmaz
olmaz olmaz olmaz
muhebbet olsa olar
olmaz olmaz
yar olmaz olmaz
",halk
