id,baslik,sarki_sozu,sarki_turu,eski_turkce_kelime_orani,fiil_orani,sifat_orani,zarf_orani,baglac_orani,unlem_orani,soru_orani,bilinmeyen_orani
22,Bahçalarda barım var,"bahçalarda barım var
bir heyva bir narım var
galem gaş gara gözlü
hoş bahışlı yarim var
beri gel gara göz
gel gel gara göz
yüreğimde yara göz
derdime sen çare göz
beri gel gara göz
yandırdı güneş meni
gün ögünde daş meni
meni gözlerin yahdı
yandırmaz ateş meni
beri gel gara göz
gel gel gara göz
yüreğimde yara göz
derdime sen çare göz
beri gel gara göz
gözün kesme gözümden
mekatımla sözümden
yar yadından oynaşırahlım getti özümden
beri gel gara göz
gel gel gara göz
yüreğimde yara göz
derdime sen çare göz
beri gel gara göz
",halk,0.1,0.16,0.05,0.0,0.0,0.0,0.0,0.08
23,Bahçenizde güren var (Dudu kız),"bahçenizde güren var
pulluğunan süren var
i̇nkar etme dudu gız
sarılırken gören var
aman dudu gız öldüm yalınız
aşam aşam pencereyi depmeli
görüp görüp ah dudu gızı öpmeli
nerelisin ah dudu gelin nereli
deli oldum ah sana meyil vereli
bahçede güren dalı
dibinde buldum yari
ben söyleyem sen dinle
başıma gelen hali
aman dudu gız öldüm yalınız
aşam aşam pencireyi açmalı
bulup bulup ah dudu gızı gaçmalı
nerelisin ah dudu gelin nereli
verem oldum gız sana gönül vereli
ayva sarı nar sarı
ayvaya konar arı
kızını bana vermiyor
kirli gömlekli karı
aman dudu gız öldüm yalınız
aşam aşam pencireyi açmalı
bulup bulup ah dudu gızı gaçmalı
nerelisin ah dudu gelin nereli
verem oldum gız sana gönül vereli
",halk,0.13,0.13,0.09,0.09,0.0,0.03,0.0,0.2
24,Başımda altın tacım,"başımda altın tacım aman
hem susuzum hem acım
yarimi bana verin
gerisi anam bacım aman
gidiyom elinizden gülüm
kurtulam dilinizden
yeşil baş ördek olsam
su içmem gölünüzden aman
hoplatma
vay gülüm deniz dalgasız olmaz
ah gurban deniz dalgasız olmaz
vay gülüm güzel sevdasız olmaz
güzel sevdasız olmaz güzel sevdasız olmaz
vay gülüm yiğit olan yiğidin
ah gurban yiğit olan yiğidin
vay gülüm başı sevdasız olmaz
başı sevdasız olmaz başı sevdasız olmaz
vay gülüm sen nerdesin nerdesin
vay gülüm kaldır camın perdesin
vay gülüm alacağım ben seni
vay gülüm galabalık yerdesin
deli deli deli deli deli deli
deli deli deli deli deli
galabalık yerdesin
",halk,0.05,0.18,0.24,0.0,0.02,0.11,0.0,0.06
25,Ben bir göçmen kızı gördüm Tuna boyunda,"ben bir göçmen kızı gördüm tuna boyunda
elinde bir besili kuzu hem kucaciğında
doğru söyle göçmen kızı annen var midır
ne annem var ne babam var kalmışım öksüz
sen bir öksüz ben bir garip alayım seni
alayım da gurbet elde sarayim seni
alayım da gizli yerde sarayim seni
teligrafın tellerınden haber yok midır
ne haber var ne mektûp var kalmışım öksüz
doğru söyle göçmen kızı haber yok midır
ne gelen var ne giden var kalmışım öksüz
ne haber var ne mektûp var kalmışım öksüz
sen bir öksüz ben bir garip alayım seni
alayım da gurbet elde sarayim seni
alayım da gizli yerde sarayim seni
",halk,0.19,0.12,0.32,0.03,0.05,0.0,0.0,0.1
26,Benden selam olsun Bolu beyine,"benden selam olsun bolu beyine
çıkıp su dağlara yaslanmalıdır
at kişnemesinden gargı sesinden
dağlar seda verip seslenmelidir
düşman geldi tabur tabur dizildi hele dizildi
alnımıza kara yazı yazıldı
tüfek icad oldu mertlik bozuldu
eğri kılıç kında paslanmalıdır
köroğlu döner mi kendi şanından
çıkarır çoğunu er meydanından
kır at köpüğünden düşman kanından
çevrem dolup şalvar ıslanmalıdır
",halk,0.05,0.24,0.04,0.07,0.0,0.0,0.02,0.04
27,Ben gidiyom emanetin Allah'a,"ben gidiyom emanetin allaha
kara gözlüm bu ellerde kal gayrı
çekti kısmet götürüyor gurbete
dost elinden ayrılıyor yol gayrı
gidiyorum kara gözlüm ağlama
ataş atıp yüreğimi dağlama
yolcuyum ben beni yoldan eğleme
ağlayarak bu ellerde kal gayrı
benim arz ettiğim kaşı kemandır
aşk elinden garip halim yamandır
gidiyorum gelen câm gümendir
helalleşek kara gözlüm gel gayrı
",halk,0.14,0.18,0.11,0.05,0.0,0.0,0.0,0.04
28,Beyaz giyme söz olur siyah giyme toz olur,"beyaz giyme söz olur
siyah giyme toz olur
gel beraber kaçalım
muradımız tez olur
salına da salına da gel
haydi yavrum dön dolaş yine bana gel
beyaz giyme tanırlar
seni yolcu sanırlar
zaten bende talih yok
seni benden alırlar
salına da salına da gel
haydi yavrum dön dolaş yine bana gel
alçak ceviz dalları
sıva beyaz kolları
kız yar nereden geleyim
hep sarmışlar yolları
salına da salına da gel
haydi yavrum dön dolaş yine bana gel
",halk,0.03,0.37,0.08,0.07,0.08,0.04,0.0,0.0
29,Beyoğlunda gezersin,"beyoğlunda gezersin
gözlerini süzersin
sevdiceğim yavrucağım
niçin niçin beni üzersin
ah ah fıkır fıkır fıkırdama
gel bana gel
ah ah şıkır şıkır şıkırdama
gel bana gel
mavi boncuk takarsın
çok canları yakarsın
sevdiceğim yavrucağım
niçin niçin benden kaçarsın
ah ah fıkır fıkır fıkırdama
gel bana gel
ah ah şıkır şıkır şıkırdama
gel bana gel
sütlüceye geçersin
sütlü kahve içersin
sevdiceğim yacrucağım
niçin niçin beni üzersin
ah ah fıkır fıkır fıkırdama
gel bana gel
ah ah şıkır şıkır şıkırdama
gel bana gel
",halk,0.17,0.26,0.01,0.09,0.0,0.0,0.0,0.05
30,Bir daracık pencere,"bir daracık pencere
el vurmayın incire
zalim baban duyarsa kız
bizi vurur zencire
aman aman aman aman
öldürdün beni aman
yandırdın beni aman
mahvettin beni aman aman aman
elim deydi eline
mail oldum diline
dünyayı ben değişmem oy
saçının bir teline
aman aman aman aman
öldürdün beni aman
yandırdın beni aman
mahvettin beni aman aman aman
her ayın her gününde
her yılın her ayında
günde bir kerpiç düşer oy
gönlümün sarayından
aman aman aman aman
öldürdün beni aman
yandırdın beni aman
mahvettin beni aman aman aman
keman mıdır yay mıdır
güneş midir ay mıdır
zülfüne bendolmuşam oy
ayrılmak kolay mıdır
aman aman aman aman
öldürdün beni aman
yandırdın beni aman
mahvettin beni aman aman aman
",halk,0.07,0.17,0.03,0.0,0.0,0.31,0.04,0.01
31,Bir fırtına tuttu bizi deryaya kardı,"bir fırtına tuttu bizi deryaya kardı
o bizim kavuşmalarımız a yârim mahşere kaldı
yeni cezve yeni cezve kaynar kaynamaz oldu
o benim nazlı yârimin dilleri söyler söylemez oldu
yeni cezve yeni cezve kaynıyor ocakta
kasatura belimizde a yârim martinimiz kucakta
mapsanede yata yata yanlarım çürüdü
pencereden baka baka a yârim elâda gözler süzüldü
",halk,0.04,0.26,0.09,0.0,0.0,0.06,0.0,0.02
32,Bir nefesçik söyleyim,"bir nefesçik söyleyim
dinlemezsen neyleyim
aşk deryasını boylayım
ummana dalmaya geldim
aşk harmandan savruldum
hem elendim hem yoğruldum
kazana girdim kavruldum
meydana yenmeye geldim
şah hatayimdir özümde
hiç hilaf yoktur sözümde
eksiklik kendi özümde
darına durmaya geldim
",halk,0.18,0.32,0.0,0.03,0.05,0.03,0.0,0.03
33,Bir of çeksem karşıki dağlar yıkılır,"bir of çeksem karşıki dağlar yıkılır
bugün posta günü canım sıkılır
ellerin mektubu gelmiş okunur
benim yüreğime hançer sokulur
bir of çeksem karşıki dağlar iniler
i̇flah etmez bu dert beni yeniler
",halk,0.09,0.32,0.0,0.0,0.0,0.06,0.0,0.1
34,Bin cefalar etsen almam üstüme oy,"bin cefalar etsen almam üstüme oy
gayet şirin geldi dillerin dostum oy
varıp yadellere meyil verirsen oy
gış ola bağlana yolların dostum dostum
i̇lahi onmaya yardan ayıran oy
bahçede bülbüller ötüyor uyar oy
kula gölge ise allah’a ayan oy
senden ayrılalı gülmedim dostum dostum
pir sultan abdal’ım gülüm dermişler oy
bu şirin canıma nasıl kıymışlar oy
i̇ster isem dünya malın vermişler oy
sensiz dünya malı neylerim dostum dostum
",halk,0.04,0.19,0.09,0.06,0.0,0.0,0.0,0.06
35,Bodrum'lular erken biçer ekini (Bodrum Hakimi),"bodrumlular erken biçer ekini
feleğe kurban mı gittin bodrum hakimi
nasıl astın mefaret hanım kendi kendini
altın makas gümüş bıçağiyle doğradılar tenini
hakim hanım’ın memleketi kütahya tavşan
hakim hanım sen eyledin bizi düşman
nasıl kıydın mefaret hanım kendi kendine
çifte doktor gümüş bıçağiyle doğradılar tenini
",halk,0.07,0.16,0.02,0.07,0.0,0.0,0.02,0.09
36,Böyle ikrar ilen böyle yolunan,"böyle ikrar ilen böyle yolunan
cefalı yar bana lazım değilsen mihnetli yar bana lazım değilsen
deli gönül sevmiş vazgelmek olmaz
cefalı yar bana lazım değilsen
ölüm geldi dört yanımı bağladı
gönül kalk gidelim sılaya doğru gönül kalk gidelim hüseyne doğru
bülbülün davası hep güllerinen
senin şirin dilin yâd ellerinen
çık zalim sevdiğim engellerinen
görünme gözüme lazım değilsen
ölüm geldi dört yanımı bağladı
gönül kalk gidelim hüseyne doğru gönül kalk gidelim sılaya doğru
bülbül ah eyleyip kanlar ağladı
didem yaşı sel sel oldu çağladı çeşmim gözüm yaşı sel sel oldu çağladı
ölüm geldi dört yanımı bağladı
tutma salacamdan lazım değilsen kılma namazımı lazım değilsen
ölüm geldi dört yanımı bağladı
gönül kalk gidelim hüseyne doğru
",halk,0.03,0.29,0.19,0.02,0.0,0.0,0.0,0.07
37,Bugün ayın ışığı,"bugün ayın ışığı elinde bal kaşığı
gine nerden geliyon da mahlenin yakışığı
vay nerdesin nerdesin kaldır camın perdesin
diyeceğim çok amma da pek kalabalık yerdesin
karşıdan geçti gelin elinde testi gelin
gitme bir yol göreyimde gençliğim geçti gelin
vay ne olur ne olur sevda sırınan olur
gözdür âlemi gezer de gönül birinen olur
",halk,0.04,0.26,0.06,0.08,0.08,0.04,0.0,0.08
38,Bugün ayın üçüdür,"bugün ayın üçüdür de gülüm nanay ay narinay
girme bostan içidir yar girme bostan içidir
dodakların ham şeker
dilin badem içidir yar dilin badem içidir
kız belin incedir ay ince
leblerin gonçadır ay gonça
kız belin incedir ince
leblerin gonçadır gonça
dam üstedir damımız de gülüm nanay ay narinay
goşadır eyvanımız yar goşadır eyvanımız
sen ordan çık men burdan
hey hey hey hey …
kör olsun düşmanımız yar kör olsun düşmanımız
kız belin incedir ay ince
leblerin gonçadır ay gonça
kız belin incedir ince
leblerin gonçadır gonça
arakçının mendedir de gülüm nanay ay narinay
sermişem çemendedir yar sermişem çemendedir
dünya gözele dönse
menim gözüm sendedir yar menim gözüm sendedir
kız belin incedir ay ince
leblerin gonçadır ay gonça
kız belin incedir ince
leblerin gonçadır gonça
",halk,0.03,0.17,0.07,0.0,0.02,0.03,0.0,0.16
39,Bulut bulutun üstüne,"bulut bulutun üstüne
bulut dağların üstüne
bulut allahın seversen
gitme yârimin üstüne
aman canan el aman dersin
bir yâr için ah edersin
bulut gelir sekiz pâre
dördü beyaz dördü kâre
sen açtın sineme yâre
bulunmaz derdime çâre
aman canan el aman dersin
bir yâr için ah edersin
",halk,0.21,0.15,0.02,0.0,0.0,0.09,0.0,0.0
40,Bulut gelir seher ile,"bulut gelir seher ile
çiçek açar bahar ile
herkes sarılmış yâr i̇le
yağma yağmur
esme bre deli rüzigar
yârim yoldadır
bulut gelir pâre pâre
dördü aktır dördü kâre
sen açtın sîneme yâre
yağma yağmur
esme bre deli rüzigar
yârim yoldadır
bulut gelir duman olur
dağı taşı dolandırır
âhım tutar üründürür
yağma yağmur
esme bre deli rüzigar
yârim yoldadır
",halk,0.07,0.17,0.07,0.0,0.09,0.0,0.0,0.09
41,Bülbülüm altın kafeste,"bülbülüm altın kafeste
öter aheste aheste
ötme bülbül yârim hasta
ah neyleyim şu gönlüme
hasret kaldım sevdiğime
ben sana dayanamam yârim
ben sana aldanamam
ben sana aldanamam yârim
ben sana dayanamam
bülbülleri hâr ağlatır
âşıkları yâr ağlatır
ben feleğe neylemişim
beni her bahar ağlatır
ben sana dayanamam yârim
ben sana aldanamam
ben sana aldanamam yârim
ben sana dayanamam
",halk,0.1,0.21,0.07,0.0,0.0,0.02,0.0,0.02
42,Cahildim dünyanın rengine kandım,"cahildim dünyanın rengine kandım
hayale aldandım boşuna yandım
seni ilelebet benimsin sandım
ölürüm sevdiğim zehirim sensin
evvelim sen oldun ahirim sensin
sözüm yok şu benden kırıldığına
gidip başka dala sarıldığıma
gönülüm inanmıyor ayrıldığına
gözyaşım sen oldun kahirim sensin
evvelim sen oldun ahirim sensin
garibim can yıkıp gönül kırmadım
senden ayrı ben bir mekan kurmadım
daha bir gönüle ikrar vermedim
batınım sen oldun zahirim sensin
evvelim sen oldun ahirim sensin
",halk,0.04,0.38,0.04,0.07,0.0,0.0,0.0,0.0
43,Cemilemin gezdiği dağlar meşeli imanım,"cemilenin gezdiği dağlar meşeli imanım
haydi üç gün oldu cemilem ben bu derde düşeli
haydide hopbak cemilem nasıl nasıl edelim biz bu işe
nikahımızı gıysın ünnen gelin hoca memişe
cemile gız ne gezersin hayatta imanım
basma fistan parlakda babuç ayakda
haydide hopbak cemilem nasıl nasıl edelim biz bu işe
nikahımızı gıysın ünnen gelin hoca memişe
cemilenin fistanı saman sarısı imanım
haydi gören sancek cemilem gız muhtar garısı
haydide hopbak cemilem nasıl nasıl edelim biz bu işe
nikahımızı gıysın ünnen gelin hoca memişe
",halk,0.05,0.06,0.09,0.06,0.0,0.01,0.0,0.23
44,Cevizin yaprağı dal arasında,"cevizin yaprağı dal arasında
güzeli severler bağ arasında
üç beş güzel bir araya gelmişler
benim sevdiceğim yok arasında
evlerinin önü zerdali dalı
pencereden gördüm kınalı eli
benim sevdiceğim tomurcuk güldü
sensiz lokmaları yiyemez oldum
sensiz odalara giremez oldum
evlerinin önü bahçelik bağlık
ne güzel işlemiş eline sağlık
yar bana yollamış bir beyaz yağlık
boynuna dolasın oynasın diye
",halk,0.05,0.21,0.12,0.02,0.0,0.0,0.0,0.04
45,Çalın davulları çaydan aşağıya amman,"çalın davulları çaydan aşağıya amman
mezarımı kazın dostlar belden aşağıya
koyun sularımı kazan dolunca amman
aman ölüm zalim ölüm üç gün ara ver
al başımdan bu sevdayı götür yâre ver
selanik içinde selâm okunur amman
selâmın sedası dostlar câna dokunur
gelin olanlara kına yakılır amman
aman ölüm zalim ölüm üç gün ara ver
al başımdan bu sevdayı götür yâre ver
selanik selanik virân olasın amman
taşını toprağcığını seller alasın
sen de benim gibi yarsız kalasın amman
aman ölüm zalim ölüm üç gün ara ver
al başımdan bu sevdayı götür yâre ver
",halk,0.01,0.2,0.05,0.01,0.01,0.03,0.0,0.01
